Pos	Jugador	Club	Puntos	Categoría	id_fetemba
114	Luna Nuñez, Nicolas	Fenix	2148	0	4058
115	Bronstein, Facundo	River Plate	2147	0	3042
116	Tenti, Benjamín	Gimnasty	2140	1	52
117	Miodosky, Martín	River Plate	2138	1	149
118	Burotto, Pablo	Nikkei TDM	2136	1	2492
119	Kornschuh, Adriel	Ferrocarril Oeste	2129	1	789
120	Ovelar, Lucero	Alvear Club	2127	1	3999
121	Boursillon, Fernando	Libre	2124	1	1542
122	De Simone, Mariano	Nichia Gakuin	2122	1	419
123	Gonzalez Dos Santos, Patricio	Lourdes	2114	1	860
124	Gavilan, Axel	Libre	2108	1	797
125	Burdin, Dimitri	Ferrocarril Oeste	2108	1	4463
126	Bobrow, Adam	Libre	2102	1	3046
127	Lorenzotti, María Pía	Tigre TDM	2100	1	459
128	Descovich, Mateo	Social Club TDM	2100	1	3413
129	Solano, Jonathan	Social Club TDM	2100	1	3476
130	Menghi, Manuel	Gimnasty	2089	1	1282
131	Valdes, Tobias D.	CEDIMA	2081	1	2786
132	Argüelles, Camila	Asoc. Yabrudense	2080	1	943
133	Samczuk, Ciro	Alvear Club	2079	1	2739
134	Aguilar, Felipe	Libre	2078	1	2564
135	Regner, Martín	Bar Ping Pong NTE	2075	1	1521
136	Bronstein, Leandro	River Plate	2074	1	21
137	Pierini, Ariel	Alvear Club	2073	1	1945
138	Kanashiro, Martín	Nikkei TDM	2072	1	41
139	Bortoli, Rodrigo	Peretz	2072	1	1463
140	Fernandez, Emanuel	CASA de Padua	2071	1	1872
141	Molero, Candela	Alvear Club	2069	1	523
142	Levin, Julián	La Legión TDM	2069	1	740
143	Bruno, Nicolás	Estacion Ping Pong	2066	1	27
144	Asmu, Agustín	River Plate	2061	1	3190
145	Bentancourt, Luciano	GTM	2057	1	694
146	Garcia Salgado, Juan	Inst.Atlet. Cultural	2052	1	57
147	Novizki, Pablo	Spin TDM	2044	1	31
148	Bordenave, Galo	Nikkei TDM	2043	1	2072
149	Ciancio, Nicolás	Top Minc	2033	1	933
150	Cabrera, Tomas	Macabi	2033	1	2819
151	Farfan, Maciel	Padilla	2030	1	4121
152	Sugimoto, Shumma	Arg Takkyu	2027	1	2615
