Pos	Jugador	Club	Puntos	Categoria
238	Soria, Alejandro                   	Asoc. Jap. Burzaco            	797	5
239	Conci, Rodolfo H                   	Arg Takkyu                    	795	5
240	Nupieri, Sofía                     	River Plate                   	794	5
241	Maldonado, Martin                  	La Legión TDM                 	794	5
242	Rodriguez Montanari, Lucas         	Fenix                         	791	5
243	Santostefano, Marcelo              	Tigre TDM                     	788	5
244	Miño, Angel                        	Tigre TDM                     	788	5
245	Szwarc Winnik, Ezequiel            	Atlanta                       	785	5
246	Aguirre, Julio Ricardo             	GTM                           	774	5
247	Reggiardo, Carolina                	Peretz                        	769	5
248	Boada, Luis                        	GTM                           	769	5
249	Jamilis, Eliel Dan                 	Sociedad Hebraica             	766	5
250	Flores Varela, Juan Manuel         	Asoc. Jap. Burzaco            	762	5
251	Miño, Alan J.                      	La Legión TDM                 	761	5
252	Aguirre, Joaquin                   	Alvear Club                   	756	5
253	Blasco, Claudio                    	La Legión TDM                 	755	5
254	Diaz, Fernando                     	Top Minc                      	753	5
255	Caro Ruiz, Benjamin                	Top Minc                      	751	5
256	Rodriguez Palencia, Carlos M.      	Ferrocarril Oeste             	748	5
257	Salvador, Cristian                 	Spin TDM                      	745	5
258	Ramirez, Lucas N.                  	Torre Tanque TDM              	745	5
259	Sarzynksi, Enzo                    	GTM                           	745	5
260	Falcon, Francisco                  	Tigre TDM                     	738	5
261	Sato, L. Ezequiel                  	Gimnasty                      	737	6
262	Piris, Leandro                     	Country Banfield TDM          	737	6
263	Coronel Lancellotti, Santiago      	Boca Juniors                  	736	6
264	Piuma, Vanesa C.                   	Nichia Gakuin                 	734	6
265	De Torres, Facundo                 	Bar Ping Pong NTE             	732	6
266	Rojas, Mauricio                    	Banco Nacion                  	730	6
267	Suarez, Franco E.                  	Club Italiano JCPaz           	727	6
268	Garrido, Ernesto                   	Alvear Club                   	725	6
269	Florio, Dario Anibal               	Banco Nacion                  	725	6
270	Dyjament, Tadeo                    	Macabi                        	725	6
271	Garcia, Ezequiel H.                	Padilla                       	725	6
272	Heredia, Edgardo                   	Tigre TDM                     	724	6
273	Toledo, Javier                     	Spin TDM                      	723	6
274	Kina, Hernan                       	Banco Nacion                  	723	6
275	Soto, Gerardo                      	Macabi                        	720	6
276	Martinez, Alan                     	Lourdes                       	719	6
277	PaolinI Barroeta, Jose Luis        	Ferrocarril Oeste             	714	6
278	Ledesma, Alejo                     	Tigre TDM                     	714	6
279	Saloña Ugone, Nahuel               	La Legión TDM                 	713	6
280	Peral, Leandro                     	Top Minc                      	710	6
281	Fantino, Juan Pablo                	San Lorenzo                   	710	6
282	Salaberry, Javier S.               	Peretz                        	709	6
283	Zualet, Jorge A.                   	Boca Juniors                  	707	6
284	Larraura, Facundo                  	San Lorenzo                   	706	6
285	Carrillo, Hernan H.                	Asoc. Jap. Burzaco            	702	6
286	Lima, Martin                       	Zenit                         	701	6
287	Lucci, Pablo G.                    	CAVA                          	699	6
288	Martinez, Saul R.                  	Club Italiano JCPaz           	699	6
