pos	jugador	club 	puntos	categoria
128	Bruno, Nicolás	Estacion Ping Pong	2066	1
129	Pareja Carrasco, Juan David	Padilla	2061	1
130	Garcia Salgado, Juan	Inst.Atlet. Cultural	2052	1
131	Bronstein, Leandro	River Plate	2049	1
132	Novizki, Pablo	Spin TDM	2044	1
133	Gonzalez Dos Santos, Patricio	Lourdes	2043	1
134	Bordenave, Galo	Nikkei TDM	2043	1
135	Cabrera, Braian	Fenix	2034	1
136	Jang, Agustín	Ferrocarril Oeste	2031	1
137	Sanchez, Claudio	Inst.Atlet. Cultural	2027	1
138	Sugimoto, Shumma	Instituto Cia. Maria	2027	1
139	Candela, Juan	Fenix	2019	1
140	Molero, Candela	Alvear Club	2018	1
141	Etayo, Alejandro	Fenix	2009	1
142	Hernandez, Juan	Intendente Agüero	2008	1
143	Cisilin, Estanislao	Instituto Cia. Maria	2005	1
144	Carpio, Francisco	TMR	2004	1
145	Rodriguez Schoeller, Santiago	Ateneo de Versailles	2004	1
146	Aguaysol, Lautaro	Libre	2000	1
147	Archua, Benjamin	River Plate	2000	1
148	Falicoff, Iván	Banco Nacion	1994	1
149	Ferretti, Matías	Gimnasty	1993	1
150	De Simone, Mariano	Nichia Gakuin	1990	1
151	Riera Castillo, Simon A.	CEDIMA	1989	1
152	Nievas, Diego Gustavo	Oeste TDM	1988	1
153	Di Pierri, Carlos	Peretz	1987	1
154	Gurevich, Ariel	Macabi	1983	1
155	Buscema, Milton	Alvear Club	1980	1
156	Duran, Ian	Fulgor Villa Crespo	1979	1
157	Wainsztok, Darío	Instituto Cia. Maria	1976	1
158	Hernandez Galvan, Julio	Fenix	1974	1
159	Peña, Franco	Atlanta	1971	1
160	Beloqui, Ramón	River Plate	1969	1
161	Iwasa, Agustina	Ferrocarril Oeste	1968	1
162	Saavedra, Tomas	Atlanta	1963	1
163	Gambande, Lucio	San Lorenzo	1962	1
164	Lovera Arteaga, Mainor	Top Minc	1961	1
165	Tabacman, Alexander	CAVA	1959	1
166	Sanchez, Ariel H.	Estacion Ping Pong	1959	1
167	Pombo, Joaquín	Ferrocarril Oeste	1957	1
168	Choca, Federico	Libre	1956	1
169	Carvalho, Lucas	Top Minc	1955	1
170	Kamimura, Emilio	CAVA	1954	1
171	Rajmil, Muriel	GTM	1954	1
