pos	jugador	club 	puntos	categoria
542	Garcia, Juan Manuel	Rioja	1402	2
543	Miyagi, Dario	Nikkei TDM	1402	2
544	Rosenfeld, Federico	Nichia Gakuin	1401	2
545	Carvalho, Sergio	Top Minc	1400	2
546	Guelerman, Leandro	Libre	1398	2
547	Arqueta, Agustín	Zenit	1397	2
548	Lescano, Ramiro	Boca Juniors	1397	2
549	Arnaudo, Facundo E.	Ferrocarril Oeste	1397	2
550	Navarro, Victor	La Patriada	1396	2
551	Grebnicoff, Luis	Peretz	1396	2
552	Rodriguez, Aurelio	Instituto Cia. Maria	1396	2
553	Chu, Daniel	Gimnasty	1395	2
554	Burgos, Néstor Alejandro	Padilla	1395	2
555	Wilcke, Alejandro	Fenix	1394	2
556	Asesor, Pedro Javier	Libre	1394	2
557	Takizawa, Yuta	Escuela Cangallo	1393	2
558	Vigolo, Alejandro	Padilla	1393	2
559	Massidda, Ariel	GTM	1392	2
560	Ghini, Bruno	Ateneo de Versailles	1392	2
561	Gazzo, Alberto	Padilla	1391	2
562	Salinas, Federico	Libre	1390	2
563	Rubin, Alexander	Libre	1389	2
564	Iacono, Mauro	Lourdes	1389	2
565	Sansegundo, Federico	Peretz	1388	2
566	Soto, Martin	Libre	1386	2
567	Nuñez, Joaquín	Nikkei TDM	1385	2
568	Pastor, Eduardo	River Plate	1384	2
569	Luongo, Fernando	Libre	1383	2
570	Garcia, Cristian W.	Tigre TDM	1382	2
571	Delgado, Gastón	GTM	1382	3
572	Gomez, Nicolas	River Plate	1381	3
573	Salpeter, Claudio	HCD	1380	3
574	Docampo, Alejandro	Lourdes	1380	3
575	Dorrego, Martín	Top Minc	1379	3
576	Otero Saumell, Juan	GTM	1376	3
577	Lagrotteria, Lucio	Instituto Cia. Maria	1375	3
578	Baron, Tomás	CTDM Nizetich	1373	3
579	Faranca, Matias	Social Club TDM	1371	3
580	Viguie, Sebastián	Libre	1369	3
581	Golstein, Horacio	Alvear Club	1369	3
582	Vera, Agustín	Club Italiano JCPaz	1367	3
583	Malka, Shimon	HCD	1365	3
584	Lixin, Ge	Def. Santos Lugares	1364	3
585	García, Juan Ignacio	Escuela Cangallo	1362	3
586	Franco, Gabriel	TMR	1362	3
587	Gonzalez Rouco, Nicolás	Escuela Cangallo	1360	3
588	Morales, Luciano	Oeste TDM	1359	3
589	Rodriguez Salem, Ignacio	Gimnasty	1359	3
590	Matsumoto, Mariano	Libre	1358	3
591	Gonzalez Fernandez, Agustín	Lourdes	1358	3
592	Cardalda, Guido	Fenix	1355	3
593	Losada, Carlos	UBA Exactas	1354	3
594	Maeshiro, Kevin	Alvear Club	1354	3
595	Trigo, Fernando	AsociacionYabrudense	1354	3
596	Maza, Diego Hernán	River Plate	1354	3
597	Pelliza, Juan	Gimnasty	1352	3
598	Rimasa, Daniel	River Plate	1351	3
599	Monteforte, Pablo A.	Lourdes	1351	3
600	Moschini, José Luis	UBA Exactas	1349	3
601	Pelliza, Augusto	U.V.V.A.	1348	3
602	Mendez, Gonzalo	Cedem nº 2	1348	3
603	Slinin, Julio	UCA Marash Argentina	1347	3
604	Fiorito, Alexis	Top Minc	1346	3
605	Cabrera, Dardo	Peretz	1344	3
606	Mammella, Santiago	Inst.Atlet. Cultural	1343	3
607	Kowiensky, Gerardo	River Plate	1342	3
608	Perdicchia, Julio	UBA Exactas	1342	3
609	D' Amato, Pablo	U.V.V.A.	1342	3
610	Gimenez, Sebastián	GTM	1341	3
611	Battan, Américo	TMR	1341	3
612	Mariño, Naomí	CEDIMA	1340	3
613	Palacios, Miguel	HCD	1339	3
614	San Martin, Ignacio	Rioja	1338	3
615	Garbarino, Guillermo	Ferrocarril Oeste	1338	3
616	Fulco, Leandro	Peñarol	1338	3
617	Anglada, Guillermo	Circulo Campano	1338	3
618	Perez, Felix	Escuela Cangallo	1337	3
619	Oliva Beningazza, Franco	CPCN Villa Gesell	1337	3
620	Fernandez, Diego	HCD	1336	3
621	Ailan, Alan	Tigre TDM	1336	3
622	Iwasa, Abril	Ferrocarril Oeste	1336	3
623	Vazquez, Gabriella S.	Padilla	1336	3
624	Ramos, Sebastian	Ateneo de Versailles	1332	3
625	Burstein, Sergio	Hacoaj	1331	3
626	Azzurro, Ignacio	Gimnasty	1331	3
627	Albornoz, Fernando	Alvear Club	1330	3
628	Malowicki, Nicolás	Top Minc	1330	3
629	Markunas, Maximiliano	Fenix	1330	3
630	Orobio, Manuel	Tigre TDM	1328	3
631	Costantino, Alberto	Intendente Agüero	1327	3
632	Canales, Romina	Peñarol	1324	3
633	Frymer, Gabriel	Libre	1323	3
634	Calvay, Nicolás	U.V.V.A.	1320	3
635	Barg, Matias Javier	Atlanta	1320	3
636	Galker, Nicolás	Libre	1319	3
637	Alvarado Stapf, Amílcar	Escuela Cangallo	1318	3
638	Capmany, Federico	Ferrocarril Oeste	1318	3
639	Casanova, Eduardo	UCA Marash Argentina	1316	3
640	Cohen, Claudio	Alvear Club	1315	3
641	Mercade, Santiago	Intendente Agüero	1314	3
642	Miers, Yancy	Libre	1312	3
643	Liebana, Juan Cruz	La Legión TDM	1312	3
644	Bernardou, Tomas	Ateneo de Versailles	1312	3
645	Completa, Martín	UBA Exactas	1311	3
646	Bisiach, Gustavo	Libre	1311	3
647	Ojeda, Abraham	Escuela Cangallo	1310	3
648	De Sousa, Mariano	Sociedad Hebraica	1308	3
649	Benitez, Pablo	Spin TDM	1306	3
650	Salamon, Shay	Macabi	1306	3
651	Puk, Hector	CEDIMA	1305	3
652	Lucero, Gustavo	UNLM	1305	3
653	Grondona, Sebastián	Gimnasty	1305	3
654	Cuska, Daniel Eduardo	Lourdes	1303	3
655	Grabia, Joaquín Manuel	Ferrocarril Oeste	1302	3
656	Loiacono, Joaquin	Alvear Club	1302	3
657	Mantesi Lopez, Agustín	Peñarol	1301	3
658	Mortula, Luciano	La Legión TDM	1300	3
659	De Luca, Luciano	Boca Juniors	1299	3
660	Greco, Juan Ignacio	La Legión TDM	1299	3
661	Perez Sanjinez, Giancarlos	GTM	1299	3
662	De Bonis, Ignacio	U.V.V.A.	1298	3
663	Mancilla Murinigo, Mario	Libre	1298	3
664	Chamorro, José Luis	Adrogue Sith Spin	1297	3
665	Cires, José	Ferrocarril Oeste	1294	3
666	Rodriguez, Fabricio	Gimnasty	1293	3
667	Gimenez Tombuer, Amilcar	River Plate	1292	3
668	Appere, Benoit	Libre	1292	3
669	Acosta Rios, Juan Ignacio	Top Minc	1291	3
670	Bancora, Máximo	Instituto Cia. Maria	1289	3
671	Lipinszki, Alberto	Fenix	1289	3
672	Eidelson, Iván	Estacion Ping Pong	1289	3
673	Moreira, Fernando	Escuela Cangallo	1288	3
674	Sierpe, Lino	Ferrocarril Oeste	1287	3
675	Gomez, Tomas	Tigre TDM	1287	3
676	Arzel, Pablo	Gimnasty	1286	3
677	Santi, Ignacio	Nichia Gakuin	1286	3
678	Unterkircher, Gloria Maria	La Legión TDM	1285	3
679	Unamuno, Sacha	Macabi	1284	3
680	Teplitzky, Andrés	Escuela Cangallo	1284	3
681	Mirabelli, Ariel	Alvear Club	1284	3
682	Canchelara, Gabriel	CPCN Villa Gesell	1282	3
683	Amendola, Julio	GTM	1282	3
684	Barck, Pablo	Atlanta	1281	3
685	Grunauer, Pedro	UNLM	1281	3
686	Chapuis, Kevin N.	TMR	1279	3
687	Tabeni, Guillermo	Sol Argentino	1278	3
688	Sanchez, Martin C.	Ateneo de Versailles	1278	3
689	Rocco, Javier	Alvear Club	1277	3
690	Giraldo, Ricardo	Libre	1277	3
691	Marchegiani, Ariel	Ferrocarril Oeste	1275	3
692	Munno, Alvaro	Rioja	1275	3
693	Vitullo, Anabel	Ferrocarril Oeste	1274	3
694	Heis, Melina	Fenix	1274	3
695	Schnaiderman, Daniel	Libre	1273	3
696	Señor, Eduard	Peretz	1272	3
697	Gil, Juan Pablo	Top Minc	1270	3
698	Monte, Juan	River Plate	1269	3
699	Alemany, Juan Pablo	Instituto Cia. Maria	1269	3
700	Moralejo, Facundo	Intendente Agüero	1268	3
701	Ghenadenic, Andrés	Fenix	1268	3
702	Rodriguez, Miguel	Libre	1267	3
703	Mejias, Agustín	Libre	1267	3
704	Paredes, Matías	La Legión TDM	1267	3
705	Tamashiro, Daniel	Instituto Cia. Maria	1264	3
706	Tiercin, Gonzalo	Atlanta	1263	3
707	Pereyra, Manuela	Fenix	1261	3
708	Fernandez Pizzella, Valentin	Ferrocarril Oeste	1260	3
709	Selvaggi, Fabián	Estacion Ping Pong	1259	3
710	Serafini, Emiliano Javier	TMR	1259	3
711	Bonanata, Ignacio	Lourdes	1252	3
712	Siri, Nicolás	Libre	1251	3
713	Rodriguez, Mariano Ismael	Instituto Cia. Maria	1251	3
714	Lopez Filloy, Alejo	Tigre TDM	1250	3
715	Soria Castillo, Tomas M.	Fenix	1250	3
716	Serrano, Valentin	Fenix	1250	3
717	Antecao, Jorge	Libre	1249	3
718	Gans, Ignacio	Macabi	1249	3
719	Mujica, Natali	CEDIMA	1248	3
720	Porciello, Angel David	Oeste TDM	1247	3
721	De Stefano, Pablo	Inst.Atlet. Cultural	1247	3
722	Camou, Gastón	Libre	1246	3
723	Hernandez, Nicolás	Ateneo de Versailles	1245	3
724	Salvatori, Rafael	Padilla	1244	3
725	Rajmil, Bernardo	Peretz	1244	3
726	Soldi, Juan Andres	Gimnasty	1244	3
727	Domizzi, Carlos	HCD	1243	3
728	Barr, Diego	CAVA	1243	3
729	Berutti, Miguel	Alvear Club	1242	3
730	Arakaki, Daniel	Boca Juniors	1241	3
731	Olewicki, Michael	Libre	1241	3
732	Torge, Agustín	Circulo Campano	1240	3
733	Salvatore, Gastón	Peñarol	1239	3
734	Martinez, Diego O.	CASA de Padua	1238	3
735	Kowiensky, Ariel	River Plate	1237	3
736	Carballo, Ignacio	Libre	1237	3
737	Atamian, Martín	Inst.Atlet. Cultural	1236	3
738	Estravizt, Hernán	UNLM	1235	3
739	Chamorro, Leonel	Arroyo TMC	1234	3
740	Molochnick, Claudio	CAVA	1234	3
741	Carreira, Lautaro	Circulo Campano	1233	3
742	Fernandez Arevalo, Mariano	Nikkei TDM	1232	3
743	Sangiacomo, Jonathan	Yupanqui	1231	3
744	Acciaresi, Pablo	Gimnasty	1231	3
745	Tominaga, Guillermo	Gral. Sarmiento	1231	3
746	Caputo Blason, Emanuel	ASTECA	1231	3
747	Krotsch, Pablo	CPCN Villa Gesell	1231	3
748	Mosteirin Clemente, Camilo	TMR	1231	3
749	Zualet, Marcelo	Gimnasty	1230	3
750	Botta, Matías	ASTECA	1230	3
751	Valin, Quimey	Rioja	1230	3
752	Sanabria, Alex	GTM	1230	3
753	Bettinotti, Alfredo	UBA Exactas	1229	3
754	Tiercin, Jorge	Libre	1229	3
755	Ortiz, Cristian	TMR	1229	3
756	Solla, Matías	Zenit	1229	3
757	Ponce de Leon, Nicolás	Padilla	1229	3
758	Bala, Luciano	Oeste TDM	1228	3
759	Corro Molas, Marcos	Ferrocarril Oeste	1227	3
760	Mendez, Iara Antonella	Social Club TDM	1227	3
761	Bustos Fierro, Tadeo	Top Minc	1227	3
762	Frabosqui Diaz, Sebastian R	Club Urquiza	1227	3
763	Quesada, Xavier	Libre	1226	3
764	Caraffa, Gervasio	El Galpong	1226	3
765	Oliva, Joaquín	Lourdes	1224	3
766	Turchin, Eros	Ferrocarril Oeste	1224	3
767	Puppo, Catalina	Libre	1223	3
768	Medina, Ariel	Def. Santos Lugares	1223	3
769	Tchintchinian, Melina	UCA Marash Argentina	1222	3
770	Gil Garea, Francisco	Nikkei TDM	1222	3
771	Avalos, Cristian	Yupanqui	1221	3
772	Turon, Gonzalo	River Plate	1221	3
773	Galarza, Victor	ASTECA	1221	3
774	Lomovasky, Andrés	Instituto Cia. Maria	1221	3
775	Erlich, Damian Ariel	Top Minc	1221	3
776	Pollini, Mariano	Lourdes	1221	3
777	Cantilo, Matías	Escuela Cangallo	1220	3
778	Gonzalez Saracho, Lucas	Escuela Cangallo	1218	3
779	Reiseman, Ilan Gabriel	Macabi	1218	3
780	Aizemberg, Ariel	Fenix	1218	3
781	Robles, Andrés	Top Minc	1216	3
782	Santucho, Iván	GTM	1215	3
783	Gurovich, Gustavo	River Plate	1215	3
784	Rodriguez Mainz, Miguel	CTDM Nizetich	1215	3
785	Gualaman, Quimey	CAVA	1214	3
786	Hernandez Gorjon, Gabriel	Social Club TDM	1214	3
787	Bercellini, Andrés	Nikkei TDM	1214	3
788	Irazabal, Santiago	Libre	1213	3
789	Laino, Martín	Adrogue Sith Spin	1213	3
790	Rojstaczer, Daniel	Libre	1212	3
791	Kosmata, Phil	River Plate	1212	3
792	Gutierrez, Gabriela	Peretz	1211	3
793	Viana, Fernando	De La Salle	1210	3
794	Santucho, Dardo	GTM	1209	3
795	Fazzari, Julián	Zenit	1208	3
796	Takehara, Sebastián	San Lorenzo	1207	3
797	Pomeraniec, Alejandro	Libre	1206	3
798	Kalmar, Gerardo	Nichia Gakuin	1206	3
799	Mousse, Jorge	Top Minc	1206	3
800	Espocito, Luciano	River Plate	1205	3
801	Gomez, Marcos	Libre	1205	3
802	Torres, Jorge	Ferrocarril Oeste	1203	3
803	Valles, Facundo	Libre	1203	3
804	Guglielmone, Gustavo	Fenix	1203	3
805	Melillo, Pablo	River Plate	1202	3
806	Lapajufker, Guido	Macabi	1201	3
807	Teplitzky, Sebastián	Libre	1200	3
808	Nuñez, Rubén	Libre	1200	3
809	Echavarria, Mauricio	Libre	1200	3
810	Messad Leoni, Martin	Fenix	1200	3
811	Castelo, Nicolás	Fenix	1199	3
812	Nakano, Pablo	Peretz	1198	3
813	Orentraij, Alberto	River Plate	1198	3
814	Sicilia, Rafael	Nikkei TDM	1198	3
815	Bell Ower, Oscar	CAVA	1197	3
816	Jaimovich, David	Fenix	1197	3
817	Miyagui, Emiliano	Libre	1195	3
818	Guillen Ramirez, Jose A.	Bar Ping Pong NTE	1195	3
819	Valenzuela, Jonathan	Adrogue Sith Spin	1194	3
820	Viñas, Nicolás	Atlanta	1194	3
821	Acosta, Gonzalo	River Plate	1194	3
822	Milessi, Tomás	Top Minc	1193	3
823	Lapalma, Fernando	La Legión TDM	1192	3
824	Baltaian, Leandro Alfredo	River Plate	1191	3
825	Gonzalez, José	Lourdes	1190	3
826	Gomez, Raul Ariel	Libre	1189	3
827	Tamanaha, Luis	Peretz	1187	3
828	Wolff, Miguel	Bar Ping Pong NTE	1186	3
829	Rodini, Juan	Alvear Club	1184	3
830	Bisforo, Lucas	Padilla	1184	3
831	Rodriguez, Gustavo	Peretz	1183	3
832	Garcia Dupont, Facundo	La Legión TDM	1183	3
833	Leon, Tomas	Top Minc	1183	3
834	Glavinich, Laslo	Inst.Atlet. Cultural	1183	3
835	Laclau, Gabriel	Fenix	1181	3
836	Petrucci, Mario Adrián	Estacion Ping Pong	1181	3
837	Popiolek, Ariel	Ateneo de Versailles	1180	3
838	Kozachuk, Damián	Peñarol	1179	3
839	Bianchini, Ignacio	Top Serrano	1179	3
840	Rodriguez, Sebastián	CAVA	1178	3
841	Rodriguez, Walter	Sol Argentino	1177	3
842	Mamone, Matias	Alvear Club	1176	3
843	Gimenez, Lucas	GTM	1175	3
844	Padin, Francisco	Peretz	1175	3
845	Daghero, Daythian	Libre	1174	3
846	Cardenas, Marcelo	Rioja	1173	3
847	Monteros, Daniel	Circ. La Paternal	1173	3
848	Rossi, Rodrigo	Top Minc	1173	3
849	Bravo Rabassa, Raúl	UNLM	1172	3
850	Posse, Federico	Libre	1172	3
851	Montenegro, Corredor	Top Minc	1171	3
852	Jimenez, Rodrigo	Libre	1171	3
853	Szuldman, Gerardo	Macabi	1171	3
854	Konig, Karen	Libre	1170	3
855	De Filippi, Marcos	Obras Sanitarias	1170	3
856	Algarañaz, Facundo	Rioja	1170	3
857	Autorino, José	Nikkei TDM	1170	3
858	Quiroz, Daniel	Peñarol	1169	3
859	Valenzuela, Ezequiel	Adrogue Sith Spin	1168	3
860	Lorca, William	Lourdes	1167	3
861	Di Salvo, Elian	Peretz	1167	3
862	Gonzalez Lomban, Bautista	Instituto Cia. Maria	1167	3
863	Bucca, Franco	Libre	1166	3
864	Yamamoto, Julio	Cedem nº 2	1164	3
865	Gonzalez, Lucas Horacio	Top Minc	1164	3
866	Verellén, Tomás	Sol Argentino	1163	3
867	Schneider, Miguel	Peretz	1162	3
868	Zalagione, Emiliano	Gimnasty	1162	3
869	Lorca, Natalia	Rioja	1159	3
870	Basile, Daniel	Gimnasty	1159	3
871	Cosentino, Placido	Fenix	1158	3
872	Graciano, Rodrigo	Ferrocarril Oeste	1156	3
873	Zaslavsky, Sergio	Fenix	1156	3
874	Sisaric, Boris	Peretz	1155	3
875	Altieri, Nicolás	Ferrocarril Oeste	1154	3
876	Gebert, Maximiliano	Nikkei TDM	1154	3
877	Gazzo, Leandro	Cedem nº 2	1153	3
878	Medina, Lucas	Peñarol	1152	3
879	Gutierrez, Jose Vicente	Gral. Sarmiento	1151	3
880	Morlacchi, Guillermo	Peretz	1150	3
881	Queipo, Guido	Escuela Cangallo	1150	3
882	Paez, Ramiro E.	Oeste TDM	1150	3
883	Falles, Miguel Angel	Gimnasty	1150	3
884	Shulenburg, Svenja	Libre	1149	3
885	Spagnuolo, Franco	Ferrocarril Oeste	1147	3
886	Kushinakajo, Elio	UBA Exactas	1147	3
887	Brandoli, Vitaliano	Libre	1145	3
888	Salminci, José	Libre	1145	3
889	Viegas, Roberto	Libre	1145	3
890	Tomasseo, Enrique	Cedem nº 2	1145	3
891	Rodgers, Matías	Escuela Cangallo	1143	3
892	Barbetta, Ariel	Gral. Sarmiento	1142	3
893	Barral, Walter	El Galpong	1142	3
894	Dolcet, Mauro	Lourdes	1141	3
895	Klachko, Cecilia	Brit Ajim	1139	3
896	Rial, Maximiliano	Libre	1139	3
897	Hertzulis, Nicolás	Fenix	1138	3
898	Ticacala, Victor Hugo	Yupanqui	1136	3
899	Fiasche, Francisco	Banco Nacion	1135	3
900	Mazzino, Augusto	Escuela Cangallo	1134	3
901	Opazo, David	Padilla	1133	3
902	D' Apice, Juan Ignacio	Adrogue Sith Spin	1132	3
903	Garofalo, Augusto	Ferrocarril Oeste	1131	3
904	Gorrini, Leandro	U.V.V.A.	1131	3
905	Makaroff, Eugenio	HCD	1130	3
906	Graciano, Lucas	Ferrocarril Oeste	1130	3
907	Arturi, Marcelo	La Legión TDM	1130	3
908	Saul, Felipe	Alvear Club	1130	3
909	Rossi Vera, Santino	Peretz	1130	3
910	Suarez, Sandra	Libre	1129	3
911	Encina, Nicolás	Instituto Cia. Maria	1129	3
912	Palavecino, Mariano	Arroyo TMC	1128	3
913	Waldszan, Dylan	Peretz	1128	3
914	Lombardo Facciale, Juan Manuel	Adrogue Sith Spin	1128	3
915	Waicman, Nicolas	CTDM Nizetich	1128	3
916	Arias, Lucas	Instituto Cia. Maria	1128	3
917	Laiño, Alejandro Daniel	CAVA	1127	3
918	Kishimoto, Yukari	Arroyo TMC	1125	3
919	Nakama, Ignacio	Instituto Cia. Maria	1125	3
920	Faranca, Dario	Social Club TDM	1125	3
921	Bau, Walter	Estacion Ping Pong	1124	3
922	Fabrizio, Fernando	CEDIMA	1123	3
923	Muhafra, Carlos	HCD	1123	3
924	Acciaresi, Bruno	Gimnasty	1123	3
925	Llanos, Mariano	CASA de Padua	1123	3
926	Tula, Fabio	Nikkei TDM	1123	3
927	Ferro, Pablo	TMR	1122	3
928	Romero, Marcelo Ezequiel	Peretz	1122	3
929	Parra, Gonzalo	TMR	1122	3
930	Dolcet, Norberto	Lourdes	1121	3
931	Diaz, José Luis	Peretz	1120	3
932	Contarino, Luciano	TMR	1120	3
933	Rivero, Mariano Nicolás	Bar Ping Pong NTE	1119	3
934	Bentancor, Matias	Ferrocarril Oeste	1119	3
935	Medina, Sebastian	CTDM Nizetich	1119	3
936	Lassos, Mauro	Libre	1117	3
937	Lo Sasso, Jorge	Ferrocarril Oeste	1117	3
938	Diaz, Leandro	Alvear Club	1117	3
939	Convertini, Pablo	Top Minc	1117	3
940	Romero, Daniel	Lourdes	1116	3
941	Stefanini, Sebastián	CASA de Padua	1116	3
942	Valls, Guillermo	Instituto Cia. Maria	1115	3
943	Hagenbuch, Gustavo	San Lorenzo	1115	3
944	Nakamura, Gustavo	Peretz	1114	3
945	De Iuliis, Claudio	Spin TDM	1114	3
946	Ruiz, Diego	UCA Marash Argentina	1114	3
947	Kuba, Mariano	Peretz	1113	3
948	Fernandez Lombardo, Ramiro	Libre	1113	3
949	Santamaria, Manuel	River Plate	1112	3
950	Caballero, Santiago	Libre	1112	3
951	Garcia, Federico	Instituto Cia. Maria	1110	3
952	Barbatelli, Diego	Cedem nº 2	1109	3
953	Piñol, Agustín	Adrogue Sith Spin	1108	3
954	Kamita, Tomás	Nichia Gakuin	1108	3
955	Galluzzo, Roberto	Peretz	1107	3
956	Gonzalez, Federico Nahuel	Top Minc	1106	3
957	Lopez Cardozo, Agustín	Yupanqui	1106	3
958	Palacio, Rubén	Peretz	1105	3
959	Ramirez, Paola	Libre	1104	3
960	Totaro, Jorge	CAVA	1103	3
961	Duek, Joaquin	Macabi	1103	3
962	Gurvich, Federico	Libre	1102	3
963	Illovich, Agustín	Libre	1102	3
964	Clauri, Rubén	Ingeniero Acosta	1101	3
965	Lococo, Manuel	Top Minc	1101	3
966	Llevillao, Lihue	Top Minc	1101	3
967	Ibelli, Leonardo	Def. Santos Lugares	1101	3
968	Dappiano, Martin	Fenix	1101	3
969	Valdez, Virginia	Libre	1100	3
970	Pekelis, Pablo	Nichia Gakuin	1100	3
971	Arenas Luque, Gustavo A.	CASA de Padua	1100	3
972	Zeniquel, Matias	Tigre TDM	1100	3
973	Tomaselli, Bruno	San Lorenzo	1098	3
974	Yamaguchi, Luis Alberto	Peñarol	1097	4
975	Perdiguero, Ricardo	CEDIMA	1096	4
976	Gebert, Daniel	Nichia Gakuin	1095	4
977	Garcia, Carlos	Padilla	1094	4
978	Oliva, Alan	Sol Argentino	1094	4
979	Cannon, Patricio	Ferrocarril Oeste	1094	4
980	Castro, Rodrigo Sebastián	El Galpong	1093	4
981	Moro, Victor	Nichia Gakuin	1093	4
982	Muñoz, Giselle	Spin TDM	1092	4
983	Cordoba, Juan	CEDIMA	1092	4
984	Lodieu, Gastón	Top Minc	1091	4
985	Diaz, Armín	Libre	1091	4
986	Carrizo, Agustín	Circulo Campano	1090	4
987	Caligaris, Juan	Spin TDM	1090	4
988	Cimino, Lucas	TMR	1089	4
989	Gallardo, Leonardo	GTM	1087	4
990	Stern, Daniel	Social Club TDM	1087	4
991	Revah, Ismael	Banco Nacion	1087	4
992	Colamarino, Rodrigo	Boca Juniors	1086	4
993	Recalde, Rodolfo	Alvear Club	1085	4
994	Ferreyra, Luis	Libre	1085	4
995	De Sousa, Maximiliano	River Plate	1085	4
996	Fanucchi, Carlos	Libre	1084	4
997	Blanco, Santiago	Adrogue Sith Spin	1083	4
998	Lira, Reinaldo	Ferrocarril Oeste	1083	4
999	Mera, Diego	Libre	1082	4
1000	Devito, Tomás	Fenix	1082	4
1001	Bruno, Sergio	CTDM Nizetich	1081	4
1002	Dorado, Enrique	U.V.V.A.	1081	4
1003	Romero, Gastón	TMR	1080	4
1004	Cuño, Sebastián	Top Minc	1079	4
1005	Señaris, Tomás	Ferrocarril Oeste	1079	4
1006	Bustamante, Matías	Lourdes	1079	4
1007	Werner, Fabian	CTDM Nizetich	1079	4
1008	Fradkin, Ivan	River Plate	1078	4
1009	Yentaro Kitamikado, Dario	Libre	1077	4
1010	Ferrer, Javier	Peretz	1076	4
1011	Fernandez Magan, César	Padilla	1076	4
1012	Alagia, Virginia	Ferrocarril Oeste	1076	4
1013	Toledo, Cristian	San Lorenzo	1076	4
1014	Yoshitsuru, Claudio	Peñarol	1075	4
1015	Pozzi, Roberto	Ateneo de Versailles	1075	4
1016	Miño, Hugo	GTM	1075	4
1017	Lococo, Juan	Nikkei TDM	1075	4
1018	Esmet, José	Libre	1074	4
1019	Nakagama, Alan Jun	Fenix	1074	4
1020	La Marca, Hugo	Peretz	1073	4
1021	Egert, Sergio	River Plate	1073	4
1022	Luciani, Daniel H.	CASA de Padua	1073	4
1023	Di Salvo, Nahuel	Peretz	1072	4
1024	Titolo, José	Alvear Club	1072	4
1025	Huarachi, Adrian	Alvear Club	1072	4
1026	Cebreiro, Ariel	Ingeniero Acosta	1071	4
1027	Dorrego, Javier	Estacion Ping Pong	1071	4
1028	Escobar, Gabriel D.	Def. Santos Lugares	1071	4
1029	Ojeda, Martín	El Galpong	1071	4
1030	Cevallos, Iván	Instituto Cia. Maria	1070	4
1031	Lopez, Facundo	ASTECA	1069	4
1032	Cavedale, Hernán	Cedem nº 2	1069	4
1033	Chiguay, Rocío	Padilla	1069	4
1034	Ferreyra, Dante V.	GTM	1068	4
1035	Orge Portela, Arturo	Libre	1067	4
1036	Jait, Damián	Libre	1066	4
1037	De Nadai, Eduardo	Fenix	1066	4
1038	Petrasso, Leonardo	CAVA	1066	4
1039	Carbajo, Ezequiel	Ingeniero Acosta	1066	4
1040	Sequeira, Carlos	TMR	1064	4
1041	Sosa, Emiliano	Fenix	1064	4
1042	Malakian, Martín	Libre	1063	4
1043	Yamauchi, Jorge	Escuela Cangallo	1063	4
1044	Proaño, Carlos	Libre	1062	4
1045	Vilte Bosch, Matias	Social Club TDM	1062	4
1046	La Boccetta, Ignacio	Peretz	1062	4
1047	Arakaki, Ariel	Arroyo TMC	1061	4
1048	Mayer, Agustín	Top Minc	1061	4
1049	Quinteros, Catriel	Bar Ping Pong NTE	1060	4
1050	Russo, Antonio	La Patriada	1060	4
1051	Gomez, Ian	Lourdes	1060	4
1052	Vernocchi, Julia	Lourdes	1059	4
1053	Barak, Norberto	Libre	1058	4
1054	Lertora, Leandro	Top Minc	1058	4
1055	Deandrea, Hernan	Social Club TDM	1058	4
1056	Quiroga, Walter	TMR	1057	4
1057	Fernandez, Maximiliano	ASTECA	1055	4
1058	Cabrera, Salvador	Escuela Cangallo	1054	4
1059	Herrera, Maximiliano	Gral. Sarmiento	1054	4
1060	Tinnirello, Sebastián	Alvear Club	1054	4
1061	De Lorenzi, Gastón	Libre	1054	4
1062	Mora, Cristian	Yupanqui	1053	4
1063	Fadel, Uriel	Macabi	1053	4
1064	Cabrera, Federico	Nichia Gakuin	1053	4
1065	Arroyo, Osvaldo	La Patriada	1052	4
1066	Paz, Talita	Libre	1052	4
1067	Luna, Mauro	TMR	1051	4
1068	Baumlis, Debora	River Plate	1051	4
1069	Gonzalez, Leandro	Atlanta	1050	4
1070	Moscoso, Maximiliano	Social Club TDM	1050	4
1071	Carranza, Ariel	Tigre TDM	1050	4
1072	Benseñor, Beatriz	Sociedad Hebraica	1050	4
1073	Costantino, Mariana	CEDIMA	1050	4
1074	Sirianni, Rubén	Libre	1049	4
1075	Nievas, Yannick Ezequiel	CEDIMA	1049	4
1076	Ali, Ahmed	TMR	1049	4
1077	Eidelstein, Ariel	Libre	1048	4
1078	Parri, Fernando	Nichia Gakuin	1048	4
1079	D angelo, Jonathan	Libre	1048	4
1080	Maravenik, Gabriel	Libre	1048	4
1081	Samaniego, Franco	La Huella	1048	4
1082	Aguerreche, Iñaki	Peretz	1048	4
1083	Pedernera, Pablo	Libre	1047	4
1084	Makarov, Eugenio	GTM	1047	4
1085	Bentancor, Omar	Ferrocarril Oeste	1046	4
1086	Pomiro, Sebastián	Top Minc	1046	4
1087	Capara, Gustavo	Rioja	1045	4
1088	Parodi, Oscar	Alvear Club	1045	4
1089	Tamashiro, Leandro	Libre	1044	4
1090	Costo, Hernan A.	Tigre TDM	1044	4
1091	Takahashi, Brisa C.	Gimnasty	1044	4
1092	Nashiro, Evelyn	Peretz	1043	4
