Pos	Jugador	Club	Puntos	Categoría
938	Autorino, José                     	Nikkei TDM                    	1170	3
939	Rolon, Fernando                    	Asoc. Jap. Burzaco            	1170	3
940	Fernicola Castiñeira, Juan M.      	Ateneo de Versailles          	1170	3
941	Quiroz, Daniel                     	Peñarol                       	1169	3
942	Parodi, Oscar                      	Alvear Club                   	1169	3
943	Valenzuela, Ezequiel               	Adrogue Sith Spin             	1168	3
944	Di Salvo, Elian                    	Peretz                        	1167	3
945	Lira, Reinaldo                     	Ferrocarril Oeste             	1167	3
946	Bucca, Franco                      	Libre                         	1166	3
947	Mujica, Natali                     	CEDIMA                        	1166	3
948	Laiño, Alejandro Daniel            	CAVA                          	1166	3
949	Rodriguez, Gustavo                 	Adrogue Sith Spin             	1164	3
950	Yamamoto, Julio                    	Libre                         	1164	3
951	Duek, Joaquin                      	Macabi                        	1164	3
952	Verellén, Tomás                    	Libre                         	1163	3
953	Herrera, Juan Ignacio              	TMR                           	1163	3
954	Huarte, Thomas                     	La Legión TDM                 	1163	3
955	Digestani, Lautaro                 	Top Minc                      	1162	3
956	Zalagione, Emiliano                	Gimnasty                      	1162	3
957	Acosta, Gonzalo                    	River Plate                   	1161	3
958	Lorca, Natalia                     	Rioja                         	1159	3
959	Basile, Daniel                     	Gimnasty                      	1159	3
960	Otero Saumell, Juan                	GTM                           	1159	3
961	Cosentino, Placido                 	Fenix                         	1158	3
962	Graciano, Rodrigo                  	Ferrocarril Oeste             	1156	3
963	Zaslavsky, Sergio                  	Fenix                         	1156	3
964	Gonzalez Lomban, Bautista          	Arg Takkyu                    	1156	3
965	Sisaric, Boris                     	Peretz                        	1155	3
966	Altieri, Nicolás                   	Ferrocarril Oeste             	1154	3
967	Guerra, Yoel                       	La Legión TDM                 	1154	3
968	Gazzo, Leandro                     	Libre                         	1153	3
969	Medina, Ariel                      	Def. Santos Lugares           	1152	3
970	Medina, Lucas                      	Peñarol                       	1152	3
971	Gutierrez, Jose Vicente            	Gral. Sarmiento               	1151	3
972	Morlacchi, Guillermo               	Peretz                        	1150	3
973	Queipo, Guido                      	Libre                         	1150	3
974	Paez, Ramiro E.                    	Oeste TDM                     	1150	3
975	Shulenburg, Svenja                 	Libre                         	1149	3
976	Gebert, Maximiliano                	Nikkei TDM                    	1149	3
977	Gimenez Casasola, Malena           	Libre                         	1148	3
978	Spagnuolo, Franco                  	Ferrocarril Oeste             	1147	3
979	Kushinakajo, Elio                  	UBA Exactas                   	1147	3
980	Sicilia, Rafael                    	Ateneo de Versailles          	1146	3
981	Brandoli, Vitaliano                	Libre                         	1145	3
982	Salminci, José                     	Libre                         	1145	3
983	Viegas, Roberto                    	Libre                         	1145	3
984	Tomasseo, Enrique                  	Libre                         	1145	3
985	Lori, David                        	GTM                           	1145	3
986	Muñoz, Giselle                     	Spin TDM                      	1144	3
987	Dappiano, Martin                   	Fenix                         	1144	3
988	Barbetta, Ariel                    	Gral. Sarmiento               	1142	3
989	Klachko, Cecilia                   	Libre                         	1139	3
990	Rial, Maximiliano                  	Libre                         	1139	3
991	Hertzulis, Nicolás                 	Fenix                         	1138	3
992	Popiolek, Ariel                    	Ateneo de Versailles          	1138	3
993	Werner, Fabian                     	CTDM Nizetich                 	1138	3
994	Ticacala, Victor Hugo              	Libre                         	1136	3
995	Mazzino, Augusto                   	Libre                         	1134	3
996	Suarez Puntiliani, Hugo M.         	Libre                         	1134	3
997	D' Apice, Juan Ignacio             	Adrogue Sith Spin             	1132	3
998	Garofalo, Augusto                  	Ferrocarril Oeste             	1131	3
999	Gorrini, Leandro                   	U.V.V.A.                      	1131	3
1000	Graciano, Lucas                    	Ferrocarril Oeste             	1130	3
1001	Suarez, Sandra                     	Libre                         	1129	3
1002	Encina, Nicolás                    	Arg Takkyu                    	1129	3
1003	Palavecino, Mariano                	Libre                         	1128	3
1004	Waldszan, Dylan                    	Peretz                        	1128	3
1005	Tula, Fabio                        	Fenix                         	1128	3
1006	Lombardo Facciale, Juan Manuel     	Adrogue Sith Spin             	1128	3
1007	Waicman, Nicolas                   	CTDM Nizetich                 	1128	3
1008	Falles, Miguel Angel               	Gimnasty                      	1126	3
1009	Kishimoto, Yukari                  	Libre                         	1125	3
1010	Nakama, Ignacio                    	Arg Takkyu                    	1125	3
1011	Castro, Rodrigo Sebastián          	Adrogue Sith Spin             	1124	3
1012	Lorca, William                     	TMR                           	1123	3
1013	Fabrizio, Fernando                 	CEDIMA                        	1123	3
1014	Muhafra, Carlos                    	Libre                         	1123	3
1015	Acciaresi, Bruno                   	Gimnasty                      	1123	3
1016	Llanos, Mariano                    	CASA de Padua                 	1123	3
1017	Crevecouer, Nicolás                	Intendente Agüero             	1123	3
1018	Ferro, Pablo                       	TMR                           	1122	3
1019	Romero, Marcelo Ezequiel           	Peretz                        	1122	3
1020	Diaz, José Luis                    	Peretz                        	1120	3
1021	Contarino, Luciano                 	TMR                           	1120	3
1022	Parra, Gonzalo                     	TMR                           	1120	3
1023	Bentancor, Matias                  	Ferrocarril Oeste             	1119	3
1024	Dolcet, Norberto                   	Lourdes                       	1118	3
1025	Lassos, Mauro                      	Libre                         	1117	3
1026	Lo Sasso, Jorge                    	Ferrocarril Oeste             	1117	3
1027	Diaz, Leandro                      	Alvear Club                   	1117	3
1028	Romero, Daniel                     	Lourdes                       	1116	3
1029	Collante, Axel                     	Fenix                         	1116	3
1030	Valls, Guillermo                   	Arg Takkyu                    	1115	3
1031	Hagenbuch, Gustavo                 	San Lorenzo                   	1115	3
1032	Nakamura, Gustavo                  	Peretz                        	1114	3
1033	De Iuliis, Claudio                 	Spin TDM                      	1114	3
1034	Szuldman, Gerardo                  	Ateneo de Versailles          	1114	3
1035	Valin, Quimey                      	Boca Juniors                  	1114	3
1036	Kuba, Mariano                      	Peretz                        	1113	3
1037	Fernandez Lombardo, Ramiro         	Libre                         	1113	3
1038	Santamaria, Manuel                 	River Plate                   	1112	3
1039	Caballero, Santiago                	Libre                         	1112	3
1040	Garcia, Federico                   	Arg Takkyu                    	1110	3
1041	Convertini, Pablo                  	Top Minc                      	1110	3
1042	Barbatelli, Diego                  	Libre                         	1109	3
1043	Fradkin, Ivan                      	River Plate                   	1109	3
1044	Piñol, Agustín                     	Adrogue Sith Spin             	1108	3
1045	Kamita, Tomás                      	Nichia Gakuin                 	1108	3
1046	Gebert, Daniel                     	Nichia Gakuin                 	1108	3
1047	Galluzzo, Roberto                  	Peretz                        	1107	3
1048	Cordoba, Juan                      	CEDIMA                        	1107	3
1049	Gonzalez, Federico Nahuel          	Top Minc                      	1106	3
1050	Lopez Cardozo, Agustín             	Libre                         	1106	3
1051	Palacio, Rubén                     	Peretz                        	1105	3
1052	Faranca, Dario                     	Social Club TDM               	1105	3
1053	Ramirez, Paola                     	Libre                         	1104	3
1054	Totaro, Jorge                      	CAVA                          	1103	3
1055	Gurvich, Federico                  	Libre                         	1102	3
1056	Illovich, Agustín                  	Libre                         	1102	3
1057	Clauri, Rubén                      	Ingeniero Acosta              	1101	3
1058	Lococo, Manuel                     	Top Minc                      	1101	3
1059	Llevillao, Lihue                   	Top Minc                      	1101	3
1060	Valdez, Virginia                   	Libre                         	1100	3
1061	Pekelis, Pablo                     	Nichia Gakuin                 	1100	3
1062	Arenas Luque, Gustavo A.           	CASA de Padua                 	1100	3
1063	Zeniquel, Matias                   	Tigre TDM                     	1100	3
1064	Barraza, Geronimo                  	GTM                           	1100	3
1065	Tomaselli, Bruno                   	San Lorenzo                   	1098	3
1066	Devesa, Gabriel F.                 	Alvear Club                   	1098	3
1067	Perdiguero, Ricardo                	CEDIMA                        	1096	3
1068	Morinigo, Matías                   	Asoc. Jap. Burzaco            	1096	3
1069	Oliva, Alan                        	Libre                         	1094	3
1070	Cannon, Patricio                   	Ferrocarril Oeste             	1094	3
1071	Rivero, Mariano Nicolás            	Bar Ping Pong NTE             	1094	3
1072	Luciani, Daniel H.                 	CASA de Padua                 	1093	3
1073	Lodieu, Gastón                     	Top Minc                      	1091	3
1074	Diaz, Armín                        	Libre                         	1091	3
1075	Carrizo, Zoe                       	Libre                         	1091	3
1076	Caligaris, Juan                    	Spin TDM                      	1090	3
1077	Kozachuk, Damián                   	Boca Juniors                  	1089	3
1078	Cimino, Lucas                      	TMR                           	1089	3
1079	Gallardo, Leonardo                 	GTM                           	1087	3
1080	Stern, Daniel                      	Asoc. Yabrudense              	1087	3
1081	Arias, Lucas                       	Arg Takkyu                    	1086	3
1082	Recalde, Rodolfo                   	Alvear Club                   	1085	3
1083	Ferreyra, Luis                     	Libre                         	1085	3
1084	De Sousa, Maximiliano              	River Plate                   	1085	3
1085	Carrizo, Agustín                   	Circulo Campano               	1085	3
1086	Fanucchi, Carlos                   	Libre                         	1084	3
1087	Blanco, Santiago                   	Adrogue Sith Spin             	1083	3
1088	Ruiz, Diego                        	UCA Marash Argentina          	1083	3
1089	Silva, Alfredo                     	Inst.Atlet. Cultural          	1082	3
1090	Yoshitsuru, Claudio                	Nichia Gakuin                 	1082	3
1091	Mera, Diego                        	Libre                         	1082	3
1092	Devito, Tomás                      	Fenix                         	1082	3
1093	Bruno, Sergio                      	CTDM Nizetich                 	1081	3
1094	Dorado, Enrique                    	U.V.V.A.                      	1081	3
1095	Romero, Gastón                     	TMR                           	1080	3
1096	Cuño, Sebastián                    	Top Minc                      	1079	3
1097	Señaris, Tomás                     	Ferrocarril Oeste             	1079	3
1098	Bustamante, Matías                 	Lourdes                       	1079	3
1099	Gomez, Ian                         	Lourdes                       	1079	3
1100	Castro, Marcos D.                  	Rioja                         	1079	3
1101	Lapalma, Dylan                     	GTM                           	1079	3
1102	Colamarino, Rodrigo                	Boca Juniors                  	1078	3
1103	Yamaguchi, Luis Alberto            	Peñarol                       	1078	3
1104	Yentaro Kitamikado, Dario          	Libre                         	1077	3
1105	Ferrer, Javier                     	Peretz                        	1076	3
1106	Alagia, Virginia                   	Ferrocarril Oeste             	1076	3
1107	Toledo, Cristian                   	Inst.Atlet. Cultural          	1076	3
1108	Quinteros, Catriel                 	Fulgor Villa Crespo           	1076	3
1109	Pozzi, Roberto                     	Ateneo de Versailles          	1075	3
1110	Miño, Hugo                         	GTM                           	1075	3
1111	Esmet, José                        	Libre                         	1074	3
1112	La Marca, Hugo                     	Peretz                        	1073	3
1113	Egert, Sergio                      	River Plate                   	1073	3
1114	Stefanini, Sebastián               	CASA de Padua                 	1073	3
1115	Ferreyra, Dante V.                 	GTM                           	1073	3
1116	Di Salvo, Nahuel                   	Peretz                        	1072	3
1117	Titolo, José                       	Alvear Club                   	1072	3
1118	Huarachi, Adrian                   	Alvear Club                   	1072	3
1119	Cebreiro, Ariel                    	Ingeniero Acosta              	1071	3
1120	Escobar, Gabriel D.                	Def. Santos Lugares           	1071	3
1121	Dorrego, Javier                    	Estacion Ping Pong            	1070	3
1122	Isola, Andres                      	Asoc. Yabrudense              	1070	3
1123	Lopez, Facundo                     	Libre                         	1069	3
1124	Cavedale, Hernán                   	Libre                         	1069	3
1125	Chiguay, Rocío                     	Padilla                       	1069	3
1126	Corbalan, Alejandro                	Oeste TDM                     	1068	3
1127	Villegas Castiñeiras, Maximo       	La Legión TDM                 	1068	3
1128	Orge Portela, Arturo               	Libre                         	1067	3
1129	Ramos Olie, Milco                  	Peretz                        	1067	3
1130	Geronimo, Ismael Alejandro         	Top Minc                      	1067	3
1131	Jait, Damián                       	Libre                         	1066	3
1132	De Nadai, Eduardo                  	Fenix                         	1066	3
1133	Carbajo, Ezequiel                  	Ingeniero Acosta              	1066	3
1134	Sequeira, Carlos                   	TMR                           	1064	3
1135	Malakian, Martín                   	Libre                         	1063	3
1136	Yamauchi, Jorge                    	Libre                         	1063	3
1137	Gualtieri, Héctor                  	El Galpong                    	1063	3
1138	Proaño, Carlos                     	Libre                         	1062	3
1139	Vilte Bosch, Matias                	Social Club TDM               	1062	3
1140	Castro, Nicolas                    	TMR                           	1062	3
1141	Arakaki, Ariel                     	Libre                         	1061	3
1142	Mayer, Agustín                     	Top Minc                      	1061	3
1143	Fernandez Magan, César             	Padilla                       	1060	3
1144	Russo, Antonio                     	Libre                         	1060	3
1145	Carrizo, Lena                      	Libre                         	1060	3
1146	Vernocchi, Julia                   	Lourdes                       	1059	3
1147	Rotryng Alvarez, Cielo             	Macabi                        	1059	3
1148	Valdez, Juan Francisco             	Estacion Ping Pong            	1059	3
1149	Barak, Norberto                    	Libre                         	1058	3
1150	Lertora, Leandro                   	Top Minc                      	1058	3
1151	Deandrea, Hernan                   	Social Club TDM               	1058	3
1152	Quiroga, Walter                    	TMR                           	1057	3
1153	Vega, Nicolás                      	Alvear Club                   	1056	3
1154	Fernandez, Maximiliano             	Libre                         	1055	3
1155	Puk Vidal, Santiago                	Peretz                        	1055	3
1156	Cabrera, Salvador                  	Libre                         	1054	3
1157	Herrera, Maximiliano               	Gral. Sarmiento               	1054	3
1158	Lococo, Juan                       	Nikkei TDM                    	1054	3
1159	Tinnirello, Sebastián              	Alvear Club                   	1054	3
1160	De Lorenzi, Gastón                 	Libre                         	1054	3
1161	Mora, Cristian                     	Libre                         	1053	3
1162	Fadel, Uriel                       	Macabi                        	1053	3
1163	Cabrera, Federico                  	Nichia Gakuin                 	1053	3
1164	Arroyo, Osvaldo                    	Libre                         	1052	3
1165	Paz, Talita                        	Libre                         	1052	3
1166	Luna, Mauro                        	TMR                           	1051	3
1167	Malenchini, Jorge Daniel           	Padilla                       	1051	3
1168	Gonzalez, Leandro                  	Atlanta                       	1050	4
1169	Moscoso, Maximiliano               	Social Club TDM               	1050	4
1170	Carranza, Ariel                    	Tigre TDM                     	1050	4
1171	Benseñor, Beatriz                  	Sociedad Hebraica             	1050	4
1172	Costantino, Mariana                	CEDIMA                        	1050	4
1173	Valarezo Vera, Leonardo            	Bar Ping Pong NTE             	1050	4
1174	Padilla, Pablo V.                  	Libre                         	1050	4
1175	Sirianni, Rubén                    	Libre                         	1049	4
1176	Nievas, Yannick Ezequiel           	CEDIMA                        	1049	4
1177	Eidelstein, Ariel                  	Libre                         	1048	4
1178	Parri, Fernando                    	Nichia Gakuin                 	1048	4
1179	D angelo, Jonathan                 	Libre                         	1048	4
1180	Maravenik, Gabriel                 	Libre                         	1048	4
1181	Samaniego, Franco                  	La Huella                     	1048	4
1182	Aguerreche, Iñaki                  	Peretz                        	1048	4
1183	Pedernera, Pablo                   	Libre                         	1047	4
1184	Makarov, Eugenio                   	GTM                           	1047	4
1185	Kalbermatter, Roberto              	GTM                           	1047	4
1186	Bentancor, Omar                    	Ferrocarril Oeste             	1046	4
1187	Pomiro, Sebastián                  	Top Minc                      	1046	4
1188	Silvero, Nahuel A.                 	Def. Santos Lugares           	1046	4
1189	Capara, Gustavo                    	Rioja                         	1045	4
1190	Tamashiro, Leandro                 	Libre                         	1044	4
1191	Costo, Hernan A.                   	Tigre TDM                     	1044	4
1192	Gonzalez, Lucas Horacio            	Top Minc                      	1044	4
1193	Gitelman, Lorena                   	Macabi                        	1044	4
1194	Nashiro, Evelyn                    	Peretz                        	1043	4
1195	Cherny, Sebastián                  	CTDM Nizetich                 	1043	4
1196	Kim, Alejandro                     	Top Minc                      	1043	4
1197	Pecci, Pablo                       	Oeste TDM                     	1043	4
1198	Fernandez Mugica, Mariano          	Arg Takkyu                    	1042	4
1199	Iwasa, Mauricio                    	Gimnasty                      	1041	4
1200	Putnik, Gastón                     	Gimnasty                      	1041	4
1201	Guglielmone, Gustavo               	Fenix                         	1041	4
1202	Cobanera, Marcos                   	Gimnasty                      	1040	4
1203	Putnik, Gerardo                    	Libre                         	1040	4
1204	Lopez, Gerónimo                    	TMR                           	1040	4
1205	Santa Cruz, Walter                 	Fenix                         	1040	4
1206	Mena, Gaspar                       	Gimnasty                      	1039	4
1207	Della Rocca, Federico              	Ingeniero Acosta              	1039	4
1208	Bublath, Gastón                    	Tigre TDM                     	1038	4
1209	Sirianni, Israel                   	Libre                         	1037	4
1210	Cardozo, Samuel                    	GTM                           	1037	4
1211	Gabay, Marcelo                     	Ferrocarril Oeste             	1036	4
1212	Rodriguez, Matías                  	Libre                         	1036	4
1213	Sirianni, Eleazar                  	Libre                         	1036	4
1214	Lopez Zavala, Gabriel              	Arg Takkyu                    	1036	4
1215	Bronstein, Marcelo                 	Libre                         	1035	4
1216	Kostenko, Anatolii                 	Ferrocarril Oeste             	1035	4
1217	Shinzato, Adrián                   	Ateneo de Versailles          	1035	4
1218	Garrott, Mario                     	UBA Exactas                   	1034	4
1219	Yasuda, Cintia                     	Peretz                        	1033	4
1220	Sacarias, Matías                   	Peretz                        	1033	4
1221	Aramburu, Bruno                    	Gimnasty                      	1032	4
1222	Traverso, Federico                 	La Legión TDM                 	1032	4
1223	Nuñez, Virgilio                    	Libre                         	1032	4
1224	Marrapodi, Nicolás                 	Ferrocarril Oeste             	1032	4
1225	Roig, Dante                        	Tigre TDM                     	1032	4
1226	Segade, Satur                      	Top Minc                      	1031	4
1227	Frol, Esteban                      	TMR                           	1031	4
1228	Frias Paz, Luciana G.              	River Plate                   	1031	4
1229	Godoy, Javier                      	Libre                         	1030	4
1230	Castillo, Diego                    	Libre                         	1030	4
1231	Heidkamp, Diego                    	Libre                         	1030	4
1232	Perez Molet, Luis                  	Fenix                         	1030	4
1233	Bianchi, Mathew                    	Libre                         	1029	4
1234	Amorin, Alejandro                  	Nichia Gakuin                 	1029	4
1235	Sosa, Ignacio J.                   	Tigre TDM                     	1029	4
1236	Bau, Walter                        	Spin TDM                      	1028	4
1237	Bustamante, Julián                 	Gimnasty                      	1027	4
1238	Siscaro, Jorge                     	Libre                         	1027	4
1239	Tovar Medina, Juan Carlos          	Bar Ping Pong NTE             	1027	4
1240	Ferreyra, E                        	Libre                         	1026	4
1241	Lomastro, Darío                    	Peretz                        	1026	4
1242	Pintos, Oscar                      	Gral. Sarmiento               	1025	4
1243	Gonzalez, Tomás                    	Arg Takkyu                    	1024	4
1244	Longhi, Analía                     	Arg Takkyu                    	1024	4
1245	Christ, Franco                     	Top Minc                      	1024	4
1246	Altamirano, Agustín                	Peretz                        	1023	4
1247	Penesse, Daniel                    	Libre                         	1023	4
1248	Lucero, Martín                     	Top Minc                      	1023	4
1249	Mielnik, Eduardo                   	Rioja                         	1023	4
1250	Fernandez, Alejo                   	Fulgor Villa Crespo           	1023	4
1251	Nakayama, Daisuke                  	Top Minc                      	1023	4
1252	Edgar, Ian                         	Fenix                         	1023	4
1253	Galeano, Nicolás                   	Libre                         	1022	4
1254	Ferreyra, Ángel                    	Libre                         	1022	4
1255	Cruz, Gastón                       	Peñarol                       	1022	4
1256	Babuini, Matías                    	Fenix                         	1022	4
1257	Villanueva, Gonzalo                	Circulo Campano               	1022	4
1258	Tokumon, Nicolás                   	Libre                         	1021	4
1259	Bernardez, Santiago                	Fenix                         	1021	4
1260	Luzzi, Gustavo                     	Libre                         	1020	4
1261	Morguenfeld, Juan                  	Libre                         	1020	4
1262	Kruger, Daniel                     	Libre                         	1020	4
1263	Groisman, Leandro                  	Banco Nacion                  	1020	4
1264	Cerverizzo, Christian              	Social Club TDM               	1020	4
1265	Aranda, Mauricio                   	Libre                         	1019	4
1266	Petrasso, Leonardo                 	CAVA                          	1018	4
1267	Molentino, Luciano                 	Libre                         	1017	4
1268	Barr, Cristian                     	CAVA                          	1017	4
1269	Iza, Daniel                        	Nichia Gakuin                 	1017	4
1270	Revah, Ismael                      	Banco Nacion                  	1017	4
1271	Vasquez, Mauricio                  	Top Minc                      	1016	4
1272	Dondovich, César                   	Bar Ping Pong NTE             	1016	4
1273	Santacroce, Fernando               	Fenix                         	1016	4
1274	Lombardi, Lucas                    	Gimnasty                      	1016	4
1275	Barrientos, Fausto                 	Ateneo de Versailles          	1016	4
1276	Muszkat, Gastón                    	Libre                         	1015	4
1277	Levenzon, Tomás                    	Libre                         	1015	4
1278	Coy Roldan, Pablo                  	Top Minc                      	1015	4
1279	Cheong Cutreta, Agustín            	Estacion Ping Pong            	1015	4
1280	Da Costa Braga, Federico           	Social Club TDM               	1015	4
1281	Melano, Cristián                   	Gimnasty                      	1014	4
1282	Michardi, Jorge                    	Libre                         	1014	4
1283	Paz, Facundo J.                    	Alvear Club                   	1014	4
1284	Mango, Felipe                      	Ferrocarril Oeste             	1013	4
1285	Sangiacomo, Jonathan               	La Legión TDM                 	1012	4
1286	Nardelli, Federico                 	Ingeniero Acosta              	1012	4
1287	Poledo, Alan                       	River Plate                   	1011	4
1288	Alcantara, Ramiro                  	Libre                         	1011	4
1289	Ochoa, Malena                      	Peretz                        	1011	4
1290	Tapari, Claudio                    	Rioja                         	1011	4
1291	Gomez, Yéssica                     	Ferrocarril Oeste             	1011	4
1292	Montero, Santiago                  	Nichia Gakuin                 	1011	4
1293	Garcia, Carlos                     	Padilla                       	1010	4
1294	Kalomiris, Pablo                   	Ateneo de Versailles          	1010	4
1295	Valdez, Juan Ignacio               	Lourdes                       	1010	4
1296	Sansone, Ariel                     	Libre                         	1009	4
1297	Soria, Juan Manuel                 	Libre                         	1009	4
1298	Mayer, Andrés                      	Libre                         	1009	4
1299	Etorena, Octavio                   	Gimnasty                      	1009	4
1300	Sigampa, Matías                    	Ferrocarril Oeste             	1008	4
1301	Jara, Luciano                      	Libre                         	1008	4
1302	Galeazzi, Marcelo                  	Libre                         	1008	4
1303	Martinez, Ayelen                   	Libre                         	1007	4
1304	Ischia, Javier                     	CASA de Padua                 	1007	4
1305	Marchegiani, Cristian              	Libre                         	1006	4
1306	Szekasy, Valentín                  	Arg Takkyu                    	1006	4
1307	Costantini, Tomas                  	Ingeniero Acosta              	1006	4
1308	Maldonado, Romeo                   	Alvear Club                   	1006	4
1309	Alcantara, Carlos                  	Libre                         	1005	4
1310	Polderman, Sandra                  	Top Minc                      	1005	4
1311	Vittori, Luciano                   	Libre                         	1005	4
1312	Vilotta, Marco                     	Libre                         	1005	4
1313	Lemos, Leandro                     	GTM                           	1005	4
1314	Hoffmann, Conrado                  	Libertad                      	1005	4
1315	Lanzafame, Luis                    	La Legión TDM                 	1004	4
1316	Molteno, Juan Andres               	Top Minc                      	1004	4
1317	Rosental, Pablo Damian             	GTM                           	1004	4
1318	Percival, Jorge                    	GTM                           	1003	4
1319	Palacios, Darío                    	CTDM Nizetich                 	1003	4
1320	Korchman, Adrián                   	Libre                         	1003	4
1321	Rodriguez, Pablo                   	Libre                         	1002	4
1322	Fleischer, Ricardo                 	Libre                         	1002	4
1323	Danelli, Alejandro                 	Arg Takkyu                    	1002	4
1324	Stacco, Daniel Oscar               	TMR                           	1002	4
1325	Bidegain, Rafael                   	Club La Quinta                	1001	4
1326	Villarruel, Ary Javier             	Spin TDM                      	1001	4
1327	Lopez, Martín                      	Libre                         	1000	4
1328	Llanos, Florencia                  	CASA de Padua                 	1000	4
1329	Polanco Carrillo, Franky           	Atlanta                       	1000	4
1330	Ares, Juan Rodrigo                 	Ingeniero Acosta              	1000	4
1331	Lamarina, Martin                   	Peñarol                       	1000	4
1332	Benito Acosta, Nicolas             	Adrogue Sith Spin             	1000	4
1333	Fernandez, Cristian                	Libre                         	1000	4
1334	Leguizamon, Guillermo              	Oeste TDM                     	1000	4
1335	Maeto, Diego                       	Asoc. Jap. Burzaco            	1000	4
1336	Vergara, N                         	Libre                         	999	4
1337	Hsueh, Daniel                      	Comunidad China TdM           	999	4
1338	Rodriguez, Fernan                  	Fenix                         	999	4
1339	Pantegnies, Hervé                  	Libre                         	999	4
1340	Bozzuto, Luciano                   	Macabi                        	999	4
1341	Maraviglia, Claudio                	Libre                         	998	4
1342	Cantilo, Rafael                    	Ferrocarril Oeste             	998	4
1343	Schoua, Horacio                    	Libre                         	998	4
1344	Alcorta, VIctor                    	Libre                         	998	4
1345	Ferreyra, Germán                   	Libre                         	997	4
1346	Arce, Agustín                      	Ingeniero Acosta              	997	4
1347	Escobar, Guillermo                 	Ferrocarril Oeste             	997	4
1348	Ballon, Pablo                      	Rioja                         	997	4
1349	Cantilo, Rocío                     	Ateneo de Versailles          	996	4
1350	Stancich, Juan                     	Libre                         	996	4
1351	Ricciardeli, Lautaro               	Fenix                         	996	4
1352	Avendaño, Cristian                 	Ingeniero Acosta              	996	4
1353	Cantarian, Aníbal                  	GTM                           	996	4
1354	Caputi, Joel                       	Peñarol                       	996	4
1355	Linfozzi, Marcelo                  	Libre                         	995	4
1356	Kelmanovich, Matías                	Libre                         	995	4
1357	Okada, Eduardo                     	TMR                           	995	4
1358	Leuzi, Sebastian                   	Zenit                         	994	4
1359	Castillo, Daniel F.                	Gimnasty                      	993	4
1360	Vegas, Daniel J.                   	Padilla                       	993	4
1361	Altamirano, Luis                   	Peretz                        	992	4
1362	Trovato, Leandro                   	Libre                         	992	4
1363	Perez, Federico Agustín            	Peretz                        	992	4
1364	Predazzi, Andrés                   	Padilla                       	992	4
1365	Peralta, Gabriel Horacio           	Libre                         	992	4
1366	Solla, Enzo                        	Zenit                         	991	4
1367	Fernandez, Mariano Ezequiel        	Atlanta                       	991	4
1368	Murakoshi, Nahuel                  	Asoc. Jap. Burzaco            	991	4
1369	Gimenez Tombuer, Hernán            	Libre                         	990	4
1370	Minc, Adrián                       	Libre                         	990	4
1371	Zurlo, Fernando                    	Libre                         	990	4
1372	Valle Palacios, Tomás              	CAVA                          	990	4
1373	Lagoa, Gabriel                     	Padilla                       	990	4
1374	Paz, Santiago                      	Fenix                         	990	4
1375	Iwasa, Laura                       	Gimnasty                      	989	4
1376	Rodiño, Leandro                    	Libre                         	988	4
1377	Chehebar, Mariano                  	Top Minc                      	988	4
1378	Madero, Oscar                      	Oeste TDM                     	988	4
1379	Ferrero, Federico                  	CEDIMA                        	987	4
1380	Zelada, Federico                   	CEDIMA                        	987	4
1381	De Pinto, Emilio                   	Lourdes                       	987	4
1382	Gonzalez, Roberto Antonio          	Lourdes                       	987	4
1383	Burghi, Natalio                    	Libre                         	986	4
1384	Cherny, Fabián                     	CTDM Nizetich                 	986	4
1385	Sisaric, Andrés                    	Peretz                        	986	4
1386	Lobo, Agustín                      	Ferrocarril Oeste             	985	4
1387	Bermudez, Matías                   	Libre                         	985	4
1388	Zaourak, Javier                    	Lourdes                       	985	4
1389	Uslenghi, Santiago                 	River Plate                   	985	4
1390	Mario, Federico                    	Fenix                         	984	4
1391	Anguillesi, Miguel                 	Fenix                         	983	4
1392	Rizzutti, Gerardo                  	Libre                         	983	4
1393	Belaustegui, Miguel                	River Plate                   	983	4
1394	Paolini, Santiago                  	Ferrocarril Oeste             	983	4
1395	 Diaz, Matias E.                   	TMR                           	983	4
1396	Basseterre, Nicolás                	Intendente Agüero             	982	4
1397	Mira, Pablo                        	Spin TDM                      	982	4
1398	Leiva, Pablo                       	Alvear Club                   	982	4
1399	Scorza, Ezequiel                   	Boca Juniors                  	981	4
1400	Cohen, Jonathan                    	Alvear Club                   	980	4
1401	Mendez, Lucas                      	Libre                         	980	4
1402	Khatcherian, Daniel                	Top Minc                      	980	4
1403	Aguilar Solis, Francisco           	River Plate                   	980	4
1404	Mercau, Flavio                     	Padilla                       	979	4
1405	Bandi, Andrés                      	Top Minc                      	979	4
1406	Ronis, Nicolas                     	River Plate                   	979	4
1407	Shahmuradyan, Rafael               	La Legión TDM                 	979	4
1408	Milgram, Roni                      	Macabi                        	979	4
1409	Lemos, Andrés                      	GTM                           	978	4
1410	Rodriguez Novillo, Diego           	Alvear Club                   	978	4
1411	Gerez, Alan                        	Club Italiano JCPaz           	978	4
1412	Schuklapper, Alejandro             	Libre                         	977	4
1413	Yamasato, Pablo                    	Peretz                        	977	4
1414	Estrada, Marcelo                   	Spin TDM                      	976	4
1415	Peralta, Hernán                    	Intendente Agüero             	976	4
1416	Garcia Mingrone, Alejandro         	Nichia Gakuin                 	975	4
1417	Lopez, Sebastián                   	Gral. Sarmiento               	975	4
