Pos	Jugador	Club	Puntos	Categoría
96	Posadas, Mariano                   	Fenix                         	2241	0
97	Riback, Juan                       	Macabi                        	2240	0
98	Ramos, Mauro                       	Fenix                         	2240	0
99	Minc, Fernando                     	Top Minc                      	2230	0
100	Schvab, Brian                      	Libre                         	2227	0
101	Koatz, Andrés                      	Peretz                        	2225	0
102	Alcaraz, Gonzalo                   	CASA de Padua                 	2222	0
103	Varela, Franco                     	GTM                           	2222	0
104	Sanchi, Francisco                  	Libre                         	2206	0
105	Marsaglia, Matías                  	Tigre TDM                     	2204	0
106	Bronstein, Facundo                 	River Plate                   	2194	0
107	Mosteirin Clemente, Camilo         	TMR                           	2193	0
108	Kaizoji, Camila                    	Alvear Club                   	2181	0
109	Perez Altera, Ignacio              	Peretz                        	2178	0
110	Storni, Gino                       	Peretz                        	2177	0
111	Burotto, Pablo                     	Nikkei TDM                    	2176	0
112	Neira, Darío                       	Spin TDM                      	2158	0
113	Sanchez, Claudio                   	Tigre TDM                     	2157	1
114	Perez, Pablo                       	Libre                         	2149	1
115	Luna Nuñez, Nicolas                	Fenix                         	2148	1
116	Tenti, Benjamín                    	Gimnasty                      	2140	1
117	Miodosky, Martín                   	River Plate                   	2138	1
118	Kornschuh, Adriel                  	Ferrocarril Oeste             	2129	1
119	Bernardou, Tomas                   	Ateneo de Versailles          	2129	1
120	Ovelar, Lucero                     	Alvear Club                   	2127	1
121	De Simone, Mariano                 	Nichia Gakuin                 	2125	1
122	Boursillon, Fernando               	Libre                         	2124	1
123	Gonzalez Dos Santos, Patricio      	Lourdes                       	2114	1
124	Menghi, Manuel                     	Gimnasty                      	2112	1
125	Gavilan, Axel                      	Libre                         	2108	1
126	Burdin, Dimitri                    	Ferrocarril Oeste             	2108	1
127	Bobrow, Adam                       	Libre                         	2102	1
128	Bentancourt, Luciano               	GTM                           	2101	1
129	Lorenzotti, María Pía              	Tigre TDM                     	2100	1
130	Descovich, Mateo                   	Social Club TDM               	2100	1
131	Solano, Jonathan                   	Social Club TDM               	2100	1
132	Valdes, Tobias D.                  	CEDIMA                        	2081	1
133	Cabrera, Tomas                     	Macabi                        	2081	1
134	Carpio, Francisco                  	Alvear Club                   	2081	1
135	Argüelles, Camila                  	Asoc. Yabrudense              	2080	1
136	Regner, Martín                     	Bar Ping Pong NTE             	2078	1
137	Aguilar, Felipe                    	Libre                         	2078	1
138	Pierini, Ariel                     	Alvear Club                   	2073	1
139	Kanashiro, Martín                  	Nikkei TDM                    	2072	1
140	Bortoli, Rodrigo                   	Peretz                        	2072	1
141	Fernandez, Emanuel                 	CASA de Padua                 	2071	1
142	Bronstein, Leandro                 	River Plate                   	2071	1
143	Molero, Candela                    	Alvear Club                   	2069	1
144	Levin, Julián                      	La Legión TDM                 	2069	1
145	Bruno, Nicolás                     	Estacion Ping Pong            	2066	1
146	Asmu, Agustín                      	River Plate                   	2061	1
147	Garcia Salgado, Juan               	Inst.Atlet. Cultural          	2052	1
148	Novizki, Pablo                     	Spin TDM                      	2044	1
149	Bordenave, Galo                    	Nikkei TDM                    	2043	1
150	Samczuk, Ciro                      	Alvear Club                   	2043	1
151	Duran, Ian                         	Fulgor Villa Crespo           	2039	1
152	Ciancio, Nicolás                   	Top Minc                      	2033	1
153	Farfan, Maciel                     	Padilla                       	2030	1
154	Sugimoto, Shumma                   	Arg Takkyu                    	2027	1
155	La Via, Giuliano                   	GTM                           	2027	1
156	Archua, Benjamin                   	River Plate                   	2024	1
157	Carpio, Federico                   	TMR                           	2022	1
158	Sassone, Marco                     	Alvear Club                   	2020	1
159	Barja, Luis M.                     	Padilla                       	2013	1
160	Etayo, Alejandro                   	Fenix                         	2009	1
161	Rossi Vera, Santino                	Peretz                        	2007	1
162	Merkin, Alan Gabriel               	River Plate                   	2003	1
163	Hernandez, Juan                    	Intendente Agüero             	2000	1
164	Aguaysol, Lautaro                  	Libre                         	2000	1
165	Ferreyra, Matias                   	Libre                         	1999	1
166	Buzzi, Maximiliano                 	Estacion Ping Pong            	1995	1
167	Carranza, Mateo                    	GTM                           	1995	1
168	Gonzalez, Manuel A                 	CEDIMA                        	1994	1
169	Ferretti, Matías                   	Gimnasty                      	1993	1
170	Nievas, Diego Gustavo              	Oeste TDM                     	1988	1
171	Di Pierri, Carlos                  	Peretz                        	1987	1
172	Gurevich, Ariel                    	Macabi                        	1983	1
173	Kamimura, Emilio                   	CAVA                          	1975	1
174	Smodlaka, Guido I.                 	Alvear Club                   	1975	1
175	Hernandez Galvan, Julio            	Fenix                         	1974	1
176	Peña, Franco                       	Fulgor Villa Crespo           	1971	1
177	Iwasa, Agustina                    	Ferrocarril Oeste             	1968	1
178	Saavedra, Tomas                    	Alvear Club                   	1963	1
179	Gambande, Lucio                    	San Lorenzo                   	1962	1
180	Ocampos, Juan                      	Inst.Atlet. Cultural          	1960	1
181	Schvartz, Ivan                     	Macabi                        	1960	1
182	Tabacman, Alexander                	CAVA                          	1959	1
183	Pombo, Joaquín                     	Ferrocarril Oeste             	1957	1
184	Lovera Arteaga, Mainor             	Top Minc                      	1957	1
185	Tchintchinian, Mariano             	UCA Marash Argentina          	1956	1
186	Choca, Federico                    	Libre                         	1956	1
187	Wainsztok, Darío                   	Arg Takkyu                    	1956	1
188	Iamarino, Nicolás                  	Nichia Gakuin                 	1955	1
189	Carvalho, Lucas                    	Top Minc                      	1955	1
190	Candela, Juan                      	Fenix                         	1954	1
191	Rajmil, Muriel                     	GTM                           	1954	1
192	Beraja, Alan                       	Atlanta                       	1953	1
193	Pombo, Federico                    	Ferrocarril Oeste             	1952	1
194	Kashiwagi, Héctor                  	Arg Takkyu                    	1952	1
195	Mikkonen, Jaakko                   	UBA Exactas                   	1950	1
196	Cisilin, Estanislao                	Arg Takkyu                    	1949	1
197	Burstein, Julián                   	Libre                         	1946	1
198	Savanco, Marcos                    	Social Club TDM               	1946	1
199	Zaffaroni Velazquez, Luca N.       	Fenix                         	1945	1
200	Serrano, Juan José                 	Top Minc                      	1944	1
201	Chavez, Pedro Joaquin              	Inst.Atlet. Cultural          	1941	1
202	Mendoza Muñoz, Alvaro              	Macabi                        	1941	1
203	Viotti, Lucas                      	Nikkei TDM                    	1937	1
204	D'Alessandro, Tomas                	Tigre TDM                     	1935	1
205	Tassara, Fernando                  	Banco Nacion                  	1931	1
206	Olivé Benages, Marc                	Top Minc                      	1928	1
207	Rajmil, Damián                     	Tigre TDM                     	1926	1
208	Cabrera, Braian                    	U.V.V.A.                      	1926	1
209	Melita, Juan                       	Gimnasty                      	1925	1
210	Fux, Gabriel                       	Alvear Club                   	1918	1
211	De Leon, Edgardo                   	Ferrocarril Oeste             	1918	1
212	Sosa, Mateo                        	River Plate                   	1918	1
213	Tenti, Joaquín                     	UCA Marash Argentina          	1917	1
214	Falicoff, Iván                     	Fulgor Villa Crespo           	1916	1
215	Sarso, Luciano                     	San Lorenzo                   	1916	1
216	Ovejero, Fernando                  	El Galpong                    	1910	1
217	Munno, Alvaro                      	Rioja                         	1907	1
218	Perez, Candela                     	Peretz                        	1901	1
219	Pareja Carrasco, Juan David        	Padilla                       	1901	1
220	Polo Canesin, Nicolas              	CTDM Nizetich                 	1900	1
221	Rodriguez, Bryan                   	Alvear Club                   	1900	1
222	Krowicki, Nahuel                   	Intendente Agüero             	1900	1
223	Sato, Maximiliano                  	Rioja                         	1896	1
224	Pereyra, Hugo                      	Nichia Gakuin                 	1895	1
225	Jang, Agustín                      	Ferrocarril Oeste             	1893	1
226	Joszpe, Santiago                   	Ferrocarril Oeste             	1890	1
227	Ding, Divina                       	Ferrocarril Oeste             	1887	1
228	Aguilar, Cruz Elyana               	CEDIMA                        	1887	1
229	Olmos, Agustin                     	Inst.Atlet. Cultural          	1885	1
230	Morsino, Nicolas                   	Tigre TDM                     	1878	1
231	Nakagama, Alan Jun                 	Fenix                         	1876	1
232	Bellusci, Pablo                    	Fenix                         	1874	1
233	Fernandez Justo, Axel              	UCA Marash Argentina          	1873	1
234	Loiseau, Alain                     	El Galpong                    	1872	1
235	Mon, Hernán                        	Alvear Club                   	1869	1
236	Perez, Hernán                      	El Galpong                    	1866	1
237	Castro, Mauricio                   	Libre                         	1866	1
238	Beloqui, Ramón                     	River Plate                   	1860	1
239	Strehl, Matías                     	Libre                         	1854	1
240	Azzurro, Ignacio                   	Gimnasty                      	1853	1
241	Albanese, Juan Manuel              	River Plate                   	1851	1
242	Marginet Campos, Alejandro         	GTM                           	1851	1
243	Roitman, Oscar                     	Nichia Gakuin                 	1848	1
244	Perez, Camila D.                   	Fenix                         	1848	1
245	Huici, Julián                      	U.V.V.A.                      	1845	1
246	Huergo, Maximiliano Román          	Nichia Gakuin                 	1843	1
247	Buscema, Milton                    	Alvear Club                   	1843	1
248	Lopez Sanchez, Francisco Jose      	CEDIMA                        	1841	1
249	Ponieman, Félix                    	River Plate                   	1831	1
250	Valdez, Eduardo                    	Alvear Club                   	1830	1
251	Rondon, Elis                       	Padilla                       	1830	1
252	Maggi, Sebastian                   	Ferrocarril Oeste             	1830	1
253	Arroyo, Hernán                     	TMR                           	1829	1
254	Bellusci, Nicolás                  	Padilla                       	1829	1
255	Salazar, Ramón                     	Estacion Ping Pong            	1828	1
256	Alzate, Camilo                     	Libre                         	1828	1
257	Rossi, Nicolás                     	Rioja                         	1826	1
258	Duran, Andrés                      	UBA Exactas                   	1824	1
259	Samaja, Facundo                    	River Plate                   	1822	1
260	Marcial, Alma G.                   	Alvear Club                   	1821	1
261	Coria, Lautaro                     	Zenit                         	1820	1
262	Epsztein, Leonardo                 	Atlanta                       	1816	1
263	Ortega, Maximiliano                	CAVA                          	1815	1
264	Arenas, Ezequiel                   	Intendente Agüero             	1814	1
265	Kenji Kamida, Diego                	Alvear Club                   	1809	1
266	Morales, Alex                      	Gimnasty                      	1808	1
267	Lago, Pablo                        	Libre                         	1808	1
268	Strah, Juan Pablo                  	Lourdes                       	1806	1
269	Carattoli, Matias J.               	Ateneo de Versailles          	1806	1
270	Sclar, Matias                      	Alvear Club                   	1804	1
271	Ryzhov, Anatolii                   	Bar Ping Pong NTE             	1801	1
272	Lima, Facundo                      	Libre                         	1800	1
273	Matlin, Federico Jose              	Atlanta                       	1800	1
