pos	jugador	club 	puntos	categoria
123	Orobio, Manuel	Tigre TDM	1328	3
124	Bernardou, Tomas	Ateneo de Versailles	1312	3
125	Grondona, Sebastián	Gimnasty	1305	3
126	Loiacono, Joaquin	Alvear Club	1302	3
127	Gomez, Tomas	Tigre TDM	1287	3
128	Amendola, Julio	GTM	1282	3
129	Sanchez, Martin C.	Ateneo de Versailles	1278	3
130	Munno, Alvaro	Rioja	1275	3
131	Tiercin, Gonzalo	Atlanta	1263	3
132	Fernandez Pizzella, Valentin	Ferrocarril Oeste	1260	3
133	Gans, Ignacio	Macabi	1249	3
134	Mujica, Natali	CEDIMA	1248	3
135	Soldi, Juan Andres	Gimnasty	1244	3
136	Atamian, Martín	Inst.Atlet. Cultural	1236	3
137	Fernandez Arevalo, Mariano	Nikkei TDM	1232	3
138	Mosteirin Clemente, Camilo	TMR	1231	3
139	Erlich, Damian Ariel	Top Minc	1221	3
140	Pollini, Mariano	Lourdes	1221	3
141	Aizemberg, Ariel	Fenix	1218	3
142	Kosmata, Phil	River Plate	1212	3
143	Jaimovich, David	Fenix	1197	3
144	Guillen Ramirez, Jose A.	Bar Ping Pong NTE	1195	3
145	Acosta, Gonzalo	River Plate	1194	3
146	Baltaian, Leandro Alfredo	River Plate	1191	3
147	Bisforo, Lucas	Padilla	1184	3
148	Mamone, Matias	Alvear Club	1176	3
149	Gebert, Maximiliano	Nikkei TDM	1154	3
150	Falles, Miguel Angel	Gimnasty	1150	3
151	Fiasche, Francisco	Banco Nacion	1135	3
152	Opazo, David	Padilla	1133	3
153	Saul, Felipe	Alvear Club	1130	3
154	Rossi Vera, Santino	Peretz	1130	3
155	Arias, Lucas	Instituto Cia. Maria	1128	3
156	Laiño, Alejandro Daniel	CAVA	1127	3
157	Faranca, Dario	Social Club TDM	1125	3
158	Medina, Sebastian	CTDM Nizetich	1119	3
159	Duek, Joaquin	Macabi	1103	3
160	Dappiano, Martin	Fenix	1101	3
161	Yamaguchi, Luis Alberto	Peñarol	1097	4
162	Cordoba, Juan	CEDIMA	1092	4
163	Lira, Reinaldo	Ferrocarril Oeste	1083	4
164	Werner, Fabian	CTDM Nizetich	1079	4
165	Fradkin, Ivan	River Plate	1078	4
166	Nakagama, Alan Jun	Fenix	1074	4
167	Ojeda, Martín	El Galpong	1071	4
168	Carbajo, Ezequiel	Ingeniero Acosta	1066	4
169	Sosa, Emiliano	Fenix	1064	4
170	La Boccetta, Ignacio	Peretz	1062	4
171	Gomez, Ian	Lourdes	1060	4
172	Baumlis, Debora	River Plate	1051	4
173	Ali, Ahmed	TMR	1049	4
174	Parodi, Oscar	Alvear Club	1045	4
175	Takahashi, Brisa C.	Gimnasty	1044	4
176	Pokorny, Solange	La Huella	1039	4
177	Frol, Esteban	TMR	1037	4
178	Bozzuto, Luciano	Social Club TDM	1036	4
179	Roig, Dante	Tigre TDM	1032	4
180	Flores Canto, Erik	San Lorenzo	1031	4
181	Bustamante, Julián	Gimnasty	1026	4
182	Gualtieri, Héctor	El Galpong	1025	4
