pos	id	jugador	club	puntos	categoria
912	2334	Werner, Fabian                     	CTDM Nizetich                 	1186	3
913	1874	Garcia Dupont, Facundo             	La Legión TDM                 	1183	3
914	2412	Leon, Tomas                        	Top Minc                      	1183	3
915	3619	Glavinich, Laslo                   	Inst.Atlet. Cultural          	1183	3
916	1335	Laclau, Gabriel                    	Fenix                         	1181	3
917	1871	Petrucci, Mario Adrián             	Estacion Ping Pong            	1181	3
918	1676	Laiño, Alejandro Daniel            	CAVA                          	1179	3
919	816	Rodriguez, Sebastián               	CAVA                          	1178	3
920	1731	Viñas, Nicolás                     	Atlanta                       	1178	3
921	1866	Martinez, Diego O.                 	CASA de Padua                 	1178	3
922	204	Rodriguez, Walter                  	Libre                         	1177	3
923	324	Furones, Matías                    	CTDM Nizetich                 	1176	3
924	496	Gimenez, Lucas                     	GTM                           	1175	3
925	652	Padin, Francisco                   	Peretz                        	1175	3
926	40	De Luca, Luciano                   	Boca Juniors                  	1174	3
927	1137	Daghero, Daythian                  	Libre                         	1174	3
928	4570	Perez Eraso, Giuliana              	Boca Juniors                  	1174	3
929	99	Cardenas, Marcelo                  	Rioja                         	1173	3
930	218	Monteros, Daniel                   	Libre                         	1173	3
931	237	Rossi, Rodrigo                     	Top Minc                      	1173	3
932	2631	Takahashi, Brisa C.                	Alvear Club                   	1173	3
933	229	Bravo Rabassa, Raúl                	Libre                         	1172	3
934	898	Benitez, Pablo                     	Alvear Club                   	1172	3
935	1211	Posse, Federico                    	Libre                         	1172	3
936	1959	Bercellini, Andrés                 	Nikkei TDM                    	1172	3
937	206	Chamorro, Leonel                   	Bar Ping Pong NTE             	1171	3
938	439	Montenegro, Corredor               	Top Minc                      	1171	3
939	848	Jimenez, Rodrigo                   	Libre                         	1171	3
940	377	Wolff, Miguel                      	Bar Ping Pong NTE             	1170	3
941	721	Konig, Karen                       	Libre                         	1170	3
942	1102	De Filippi, Marcos                 	Libre                         	1170	3
943	1119	Algarañaz, Facundo                 	Rioja                         	1170	3
944	1879	Autorino, José                     	Nikkei TDM                    	1170	3
945	3133	Bellomi, Joaquin                   	CAVA                          	1170	3
946	1256	Quiroz, Daniel                     	Peñarol                       	1169	3
947	1183	Valenzuela, Ezequiel               	Adrogue Sith Spin             	1168	3
948	233	Di Salvo, Elian                    	Peretz                        	1167	3
949	2210	Bucca, Franco                      	Libre                         	1166	3
950	3796	Mujica, Natali                     	CEDIMA                        	1166	3
951	87	Rodriguez, Gustavo                 	Adrogue Sith Spin             	1164	3
952	504	Yamamoto, Julio                    	Libre                         	1164	3
953	751	Verellén, Tomás                    	Libre                         	1163	3
954	2588	Herrera, Juan Ignacio              	TMR                           	1163	3
955	1511	Zalagione, Emiliano                	Gimnasty                      	1162	3
956	234	Acosta, Gonzalo                    	River Plate                   	1161	3
957	3673	Fernicola Castiñeira, Juan M.      	Ateneo de Versailles          	1161	3
958	105	Lorca, Natalia                     	Rioja                         	1159	3
959	1332	Basile, Daniel                     	Gimnasty                      	1159	3
960	922	Cosentino, Placido                 	Fenix                         	1158	3
961	120	Slinin, Julio                      	UCA Marash Argentina          	1157	3
962	482	Graciano, Rodrigo                  	Ferrocarril Oeste             	1156	3
963	1029	Zaslavsky, Sergio                  	Fenix                         	1156	3
964	2508	Gonzalez Lomban, Bautista          	Arg Takkyu                    	1156	3
965	723	Sisaric, Boris                     	Peretz                        	1155	3
966	1415	Altieri, Nicolás                   	Ferrocarril Oeste             	1154	3
967	742	Gazzo, Leandro                     	Libre                         	1153	3
968	440	Medina, Ariel                      	Def. Santos Lugares           	1152	3
969	1548	Medina, Lucas                      	Peñarol                       	1152	3
970	235	Gutierrez, Jose Vicente            	Gral. Sarmiento               	1151	3
971	102	Morlacchi, Guillermo               	Peretz                        	1150	3
972	107	Queipo, Guido                      	Libre                         	1150	3
973	3982	Paez, Ramiro E.                    	Oeste TDM                     	1150	3
974	424	Digestani, Lautaro                 	Top Minc                      	1149	3
975	1681	Shulenburg, Svenja                 	Libre                         	1149	3
976	3388	Gebert, Maximiliano                	Nikkei TDM                    	1149	3
977	4571	Gimenez Casasola, Malena           	Libre                         	1148	3
978	1771	Huarte, Thomas                     	La Legión TDM                 	1148	3
979	238	Spagnuolo, Franco                  	Ferrocarril Oeste             	1147	3
980	240	Kushinakajo, Elio                  	UBA Exactas                   	1147	3
981	2366	Faranca, Dario                     	Social Club TDM               	1147	3
982	239	Brandoli, Vitaliano                	Libre                         	1145	3
983	455	Salminci, José                     	Libre                         	1145	3
984	635	Viegas, Roberto                    	Libre                         	1145	3
985	776	Tomasseo, Enrique                  	Libre                         	1145	3
986	1290	Valin, Quimey                      	Boca Juniors                  	1145	3
987	1979	Collante, Axel                     	Fenix                         	1144	3
988	897	Otero Saumell, Juan                	GTM                           	1143	3
989	2736	Parodi, Oscar                      	Alvear Club                   	1143	3
990	242	Barbetta, Ariel                    	Gral. Sarmiento               	1142	3
991	554	Klachko, Cecilia                   	Libre                         	1139	3
992	1265	Rial, Maximiliano                  	Libre                         	1139	3
993	697	Hertzulis, Nicolás                 	Fenix                         	1138	3
994	1504	Sicilia, Rafael                    	Ateneo de Versailles          	1137	3
995	241	Ticacala, Victor Hugo              	Libre                         	1136	3
996	1352	Crevecouer, Nicolás                	Intendente Agüero             	1136	3
997	103	Mazzino, Augusto                   	Libre                         	1134	3
998	4301	Suarez Puntiliani, Hugo M.         	Libre                         	1134	3
999	1655	Popiolek, Ariel                    	Ateneo de Versailles          	1133	3
1000	1571	D' Apice, Juan Ignacio             	Adrogue Sith Spin             	1132	3
1001	246	Garofalo, Augusto                  	Ferrocarril Oeste             	1131	3
1002	638	Gorrini, Leandro                   	U.V.V.A.                      	1131	3
1003	491	Graciano, Lucas                    	Ferrocarril Oeste             	1130	3
1004	2682	Dappiano, Martin                   	Fenix                         	1130	3
1005	3359	Puk Vidal, Santiago                	Peretz                        	1130	3
1006	458	Suarez, Sandra                     	Libre                         	1129	3
1007	1444	Encina, Nicolás                    	Arg Takkyu                    	1129	3
1008	249	Palavecino, Mariano                	Libre                         	1128	3
1009	822	Waldszan, Dylan                    	Peretz                        	1128	3
1010	1455	Lombardo Facciale, Juan Manuel     	Adrogue Sith Spin             	1128	3
1011	3389	Waicman, Nicolas                   	CTDM Nizetich                 	1128	3
1012	1630	Falles, Miguel Angel               	Gimnasty                      	1126	3
1013	251	Kishimoto, Yukari                  	Libre                         	1125	3
1014	457	Nakama, Ignacio                    	Arg Takkyu                    	1125	3
1015	1073	Castro, Rodrigo Sebastián          	Adrogue Sith Spin             	1124	3
1016	69	Lorca, William                     	TMR                           	1123	3
1017	288	Fabrizio, Fernando                 	CEDIMA                        	1123	3
1018	304	Muhafra, Carlos                    	Libre                         	1123	3
1019	416	Acciaresi, Bruno                   	Gimnasty                      	1123	3
1020	618	Llanos, Mariano                    	CASA de Padua                 	1123	3
1021	125	Ferro, Pablo                       	TMR                           	1122	3
1022	253	Romero, Marcelo Ezequiel           	Peretz                        	1122	3
1023	113	Diaz, José Luis                    	Peretz                        	1120	3
1024	941	Contarino, Luciano                 	TMR                           	1120	3
1025	1308	Parra, Gonzalo                     	TMR                           	1120	3
1026	2078	Bentancor, Matias                  	Ferrocarril Oeste             	1119	3
1027	289	Dolcet, Norberto                   	Lourdes                       	1118	3
1028	1987	Yamaguchi, Luis Alberto            	Peñarol                       	1118	3
1029	88	Lassos, Mauro                      	Libre                         	1117	3
1030	92	Lo Sasso, Jorge                    	Ferrocarril Oeste             	1117	3
1031	1884	Diaz, Leandro                      	Alvear Club                   	1117	3
1032	96	Romero, Daniel                     	Lourdes                       	1116	3
1033	250	Valls, Guillermo                   	Arg Takkyu                    	1115	3
1034	2269	Hagenbuch, Gustavo                 	San Lorenzo                   	1115	3
1035	1096	Nakamura, Gustavo                  	Peretz                        	1114	3
1036	1380	De Iuliis, Claudio                 	Spin TDM                      	1114	3
1037	656	Kuba, Mariano                      	Peretz                        	1113	3
1038	3095	Fernandez Lombardo, Ramiro         	Libre                         	1113	3
1039	436	Santamaria, Manuel                 	River Plate                   	1112	3
1040	598	Caballero, Santiago                	Libre                         	1112	3
1041	1357	Garcia, Federico                   	Arg Takkyu                    	1110	3
1042	2541	Convertini, Pablo                  	Top Minc                      	1110	3
1043	686	Barbatelli, Diego                  	Libre                         	1109	3
1044	254	Piñol, Agustín                     	Adrogue Sith Spin             	1108	3
1045	1086	Kamita, Tomás                      	Nichia Gakuin                 	1108	3
1046	2934	Gebert, Daniel                     	Nichia Gakuin                 	1108	3
1047	3155	Barraza, Geronimo                  	GTM                           	1108	3
1048	557	Galluzzo, Roberto                  	Peretz                        	1107	3
1049	4064	Cordoba, Juan                      	CEDIMA                        	1107	3
1050	3175	Lira, Reinaldo                     	Ferrocarril Oeste             	1107	3
1051	706	Gonzalez, Federico Nahuel          	Top Minc                      	1106	3
1052	997	Quinteros, Catriel                 	Fulgor Villa Crespo           	1106	3
1053	1191	Lopez Cardozo, Agustín             	Libre                         	1106	3
1054	1741	Szuldman, Gerardo                  	Ateneo de Versailles          	1106	3
1055	195	Palacio, Rubén                     	Peretz                        	1105	3
1056	3562	Villegas Castiñeiras, Maximo       	La Legión TDM                 	1105	3
1057	3943	Scorza, Ezequiel                   	Boca Juniors                  	1105	3
1058	255	Ramirez, Paola                     	Libre                         	1104	3
1059	622	Totaro, Jorge                      	CAVA                          	1103	3
1060	258	Gurvich, Federico                  	Libre                         	1102	3
1061	695	Illovich, Agustín                  	Libre                         	1102	3
1062	825	Clauri, Rubén                      	Ingeniero Acosta              	1101	3
1063	1001	Lococo, Manuel                     	Top Minc                      	1101	3
1064	1248	Llevillao, Lihue                   	Top Minc                      	1101	3
1065	257	Valdez, Virginia                   	Libre                         	1100	3
1066	620	Pekelis, Pablo                     	Nichia Gakuin                 	1100	3
1067	2880	Arenas Luque, Gustavo A.           	CASA de Padua                 	1100	3
1068	3710	Zeniquel, Matias                   	Tigre TDM                     	1100	3
1069	74	Tomaselli, Bruno                   	San Lorenzo                   	1098	3
1070	326	Muñoz, Giselle                     	Spin TDM                      	1097	3
1071	327	Perdiguero, Ricardo                	CEDIMA                        	1096	3
1072	3391	Valdez, Juan Francisco             	Estacion Ping Pong            	1096	3
1073	259	Oliva, Alan                        	Libre                         	1094	3
1074	530	Cannon, Patricio                   	Ferrocarril Oeste             	1094	3
1075	1514	Rivero, Mariano Nicolás            	Bar Ping Pong NTE             	1094	3
1076	2917	Luciani, Daniel H.                 	CASA de Padua                 	1093	3
1077	1129	Lodieu, Gastón                     	Top Minc                      	1091	3
1078	1130	Tula, Fabio                        	Fenix                         	1091	3
1079	1598	Diaz, Armín                        	Libre                         	1091	3
1080	4573	Carrizo, Zoe                       	Libre                         	1091	3
1081	1568	Morinigo, Matías                   	Asoc. Jap. Burzaco            	1091	3
1082	3544	Devesa, Gabriel F.                 	Alvear Club                   	1091	3
1083	2352	Caligaris, Juan                    	Spin TDM                      	1090	3
1084	1334	Cimino, Lucas                      	TMR                           	1089	3
1085	3790	Lapalma, Dylan                     	GTM                           	1088	3
1086	1561	Gallardo, Leonardo                 	GTM                           	1087	3
1087	3033	Stern, Daniel                      	Asoc. Yabrudense              	1087	3
1088	118	Recalde, Rodolfo                   	Alvear Club                   	1085	3
1089	265	Ferreyra, Luis                     	Libre                         	1085	3
1090	487	De Sousa, Maximiliano              	River Plate                   	1085	3
1091	1508	Carrizo, Agustín                   	Circulo Campano               	1085	3
1092	657	Fanucchi, Carlos                   	Libre                         	1084	3
1093	1209	Blanco, Santiago                   	Adrogue Sith Spin             	1083	3
1094	243	Silva, Alfredo                     	Inst.Atlet. Cultural          	1082	3
1095	267	Yoshitsuru, Claudio                	Nichia Gakuin                 	1082	3
1096	633	Mera, Diego                        	Libre                         	1082	3
1097	876	Devito, Tomás                      	Fenix                         	1082	3
1098	115	Bruno, Sergio                      	CTDM Nizetich                 	1081	3
1099	268	Dorado, Enrique                    	U.V.V.A.                      	1081	3
1100	3396	Malenchini, Jorge Daniel           	Padilla                       	1081	3
1101	732	Romero, Gastón                     	TMR                           	1080	3
1102	75	Cuño, Sebastián                    	Top Minc                      	1079	3
1103	1021	Señaris, Tomás                     	Ferrocarril Oeste             	1079	3
1104	1616	Bustamante, Matías                 	Lourdes                       	1079	3
1105	2949	Gomez, Ian                         	Lourdes                       	1079	3
1106	1544	Ruiz, Diego                        	UCA Marash Argentina          	1078	3
1107	3997	Colamarino, Rodrigo                	Boca Juniors                  	1078	3
1108	2618	Yentaro Kitamikado, Dario          	Libre                         	1077	3
1109	73	Ferrer, Javier                     	Peretz                        	1076	3
1110	317	Alagia, Virginia                   	Ferrocarril Oeste             	1076	3
1111	761	Toledo, Cristian                   	Inst.Atlet. Cultural          	1076	3
1112	1398	Arias, Lucas                       	Arg Takkyu                    	1076	3
1113	367	Pozzi, Roberto                     	Ateneo de Versailles          	1075	3
1114	942	Miño, Hugo                         	GTM                           	1075	3
1115	1071	Gualtieri, Héctor                  	El Galpong                    	1075	3
1116	978	Esmet, José                        	Libre                         	1074	3
1117	1348	Lori, David                        	GTM                           	1074	3
1118	1180	La Marca, Hugo                     	Peretz                        	1073	3
1119	1743	Egert, Sergio                      	River Plate                   	1073	3
1120	2026	Stefanini, Sebastián               	CASA de Padua                 	1073	3
1121	2896	Paz, Facundo J.                    	Alvear Club                   	1073	3
1122	296	Di Salvo, Nahuel                   	Peretz                        	1072	3
1123	475	Titolo, José                       	Alvear Club                   	1072	3
1124	593	Huarachi, Adrian                   	Alvear Club                   	1072	3
1125	838	Kozachuk, Damián                   	Boca Juniors                  	1071	3
1126	1230	Cebreiro, Ariel                    	Ingeniero Acosta              	1071	3
1127	2897	Escobar, Gabriel D.                	Def. Santos Lugares           	1071	3
1128	1470	Dorrego, Javier                    	Estacion Ping Pong            	1070	3
1129	272	Lopez, Facundo                     	Libre                         	1069	3
1130	874	Cavedale, Hernán                   	Libre                         	1069	3
1131	1296	Chiguay, Rocío                     	Padilla                       	1069	3
1132	3585	Ferreyra, Dante V.                 	GTM                           	1069	3
1133	3320	Corbalan, Alejandro                	Oeste TDM                     	1068	4
1134	275	Orge Portela, Arturo               	Libre                         	1067	4
1135	2411	Ramos Olie, Milco                  	Peretz                        	1067	4
1136	111	Jait, Damián                       	Libre                         	1066	4
1137	774	De Nadai, Eduardo                  	Fenix                         	1066	4
1138	3353	Carbajo, Ezequiel                  	Ingeniero Acosta              	1066	4
1139	1360	Sequeira, Carlos                   	TMR                           	1064	4
1140	1519	Geronimo, Ismael Alejandro         	Top Minc                      	1064	4
1141	278	Malakian, Martín                   	Libre                         	1063	4
1142	562	Yamauchi, Jorge                    	Libre                         	1063	4
1143	279	Proaño, Carlos                     	Libre                         	1062	4
1144	2964	Vilte Bosch, Matias                	Social Club TDM               	1062	4
1145	4257	Castro, Nicolas                    	TMR                           	1062	4
1146	266	Arakaki, Ariel                     	Libre                         	1061	4
1147	428	Mayer, Agustín                     	Top Minc                      	1061	4
1148	48	Sangiacomo, Jonathan               	La Legión TDM                 	1060	4
1149	81	Fernandez Magan, César             	Padilla                       	1060	4
1150	1621	Russo, Antonio                     	Libre                         	1060	4
1151	4574	Carrizo, Lena                      	Libre                         	1060	4
1152	1582	Vernocchi, Julia                   	Lourdes                       	1059	4
1153	1748	Rotryng Alvarez, Cielo             	Macabi                        	1059	4
1154	294	Barak, Norberto                    	Libre                         	1058	4
1155	329	Lertora, Leandro                   	Top Minc                      	1058	4
1156	3065	Deandrea, Hernan                   	Social Club TDM               	1058	4
1157	1430	Quiroga, Walter                    	TMR                           	1057	4
1158	285	Fernandez, Maximiliano             	Libre                         	1055	4
1159	281	Cabrera, Salvador                  	Libre                         	1054	4
1160	286	Herrera, Maximiliano               	Gral. Sarmiento               	1054	4
1161	1116	Lococo, Juan                       	Nikkei TDM                    	1054	4
1162	1744	Tinnirello, Sebastián              	Alvear Club                   	1054	4
1163	1860	De Lorenzi, Gastón                 	Libre                         	1054	4
1164	287	Mora, Cristian                     	Libre                         	1053	4
1165	571	Fadel, Uriel                       	Macabi                        	1053	4
1166	596	Cabrera, Federico                  	Nichia Gakuin                 	1053	4
1167	245	Arroyo, Osvaldo                    	Libre                         	1052	4
1168	284	Paz, Talita                        	Libre                         	1052	4
1169	1052	Luna, Mauro                        	TMR                           	1051	4
1170	1657	Gonzalez, Leandro                  	Atlanta                       	1050	4
1171	2971	Moscoso, Maximiliano               	Social Club TDM               	1050	4
1172	3373	Carranza, Ariel                    	Tigre TDM                     	1050	4
1173	3411	Benseñor, Beatriz                  	Sociedad Hebraica             	1050	4
1174	3526	Costantino, Mariana                	CEDIMA                        	1050	4
1175	4789	Padilla, Pablo V.                  	Libre                         	1050	4
1176	293	Sirianni, Rubén                    	Libre                         	1049	4
1177	1628	Nievas, Yannick Ezequiel           	CEDIMA                        	1049	4
1178	80	Eidelstein, Ariel                  	Libre                         	1048	4
1179	140	Parri, Fernando                    	Nichia Gakuin                 	1048	4
1180	295	D angelo, Jonathan                 	Libre                         	1048	4
1181	297	Maravenik, Gabriel                 	Libre                         	1048	4
1182	1669	Samaniego, Franco                  	La Huella                     	1048	4
1183	1695	Aguerreche, Iñaki                  	Peretz                        	1048	4
1184	4643	Valarezo Vera, Leonardo            	Bar Ping Pong NTE             	1048	4
1185	298	Pedernera, Pablo                   	Libre                         	1047	4
1186	2021	Makarov, Eugenio                   	GTM                           	1047	4
1187	1107	Bentancor, Omar                    	Ferrocarril Oeste             	1046	4
1188	1518	Pomiro, Sebastián                  	Top Minc                      	1046	4
1189	3025	Silvero, Nahuel A.                 	Def. Santos Lugares           	1046	4
1190	3103	Vega, Nicolás                      	Alvear Club                   	1046	4
1191	659	Capara, Gustavo                    	Rioja                         	1045	4
1192	413	Tamashiro, Leandro                 	Libre                         	1044	4
1193	2908	Costo, Hernan A.                   	Tigre TDM                     	1044	4
1194	1168	Gonzalez, Lucas Horacio            	Top Minc                      	1044	4
1195	354	Nashiro, Evelyn                    	Peretz                        	1043	4
1196	947	Cherny, Sebastián                  	CTDM Nizetich                 	1043	4
1197	1109	Kim, Alejandro                     	Top Minc                      	1043	4
1198	1678	Pecci, Pablo                       	Oeste TDM                     	1043	4
1199	2022	Fernandez Mugica, Mariano          	Arg Takkyu                    	1042	4
1200	271	Iwasa, Mauricio                    	Gimnasty                      	1041	4
1201	311	Putnik, Gastón                     	Gimnasty                      	1041	4
1202	1662	Guglielmone, Gustavo               	Fenix                         	1041	4
1203	123	Cobanera, Marcos                   	Gimnasty                      	1040	4
1204	313	Putnik, Gerardo                    	Libre                         	1040	4
1205	979	Lopez, Gerónimo                    	TMR                           	1040	4
1206	1331	Santa Cruz, Walter                 	Fenix                         	1040	4
1207	314	Mena, Gaspar                       	Gimnasty                      	1039	4
1208	3354	Della Rocca, Federico              	Ingeniero Acosta              	1039	4
1209	548	Bublath, Gastón                    	Tigre TDM                     	1038	4
1210	319	Sirianni, Israel                   	Libre                         	1037	4
1211	1025	Cardozo, Samuel                    	GTM                           	1037	4
1212	3366	Sosa, Ignacio J.                   	Tigre TDM                     	1037	4
1213	320	Gabay, Marcelo                     	Ferrocarril Oeste             	1036	4
1214	321	Rodriguez, Matías                  	Libre                         	1036	4
1215	323	Sirianni, Eleazar                  	Libre                         	1036	4
1216	4676	Lopez Zavala, Gabriel              	Arg Takkyu                    	1036	4
1217	290	Bronstein, Marcelo                 	Libre                         	1035	4
1218	4554	Kostenko, Anatolii                 	Ferrocarril Oeste             	1035	4
1219	728	Garrott, Mario                     	UBA Exactas                   	1034	4
1220	361	Yasuda, Cintia                     	Peretz                        	1033	4
1221	1999	Sacarias, Matías                   	Peretz                        	1033	4
1222	300	Aramburu, Bruno                    	Gimnasty                      	1032	4
1223	332	Traverso, Federico                 	La Legión TDM                 	1032	4
1224	347	Nuñez, Virgilio                    	Libre                         	1032	4
1225	484	Marrapodi, Nicolás                 	Ferrocarril Oeste             	1032	4
1226	1720	Roig, Dante                        	Tigre TDM                     	1032	4
1227	700	Segade, Satur                      	Top Minc                      	1031	4
1228	3246	Frol, Esteban                      	TMR                           	1031	4
1229	4569	Frias Paz, Luciana G.              	River Plate                   	1031	4
1230	334	Godoy, Javier                      	Libre                         	1030	4
1231	336	Castillo, Diego                    	Libre                         	1030	4
1232	337	Heidkamp, Diego                    	Libre                         	1030	4
1233	2498	Perez Molet, Luis                  	Fenix                         	1030	4
1234	340	Bianchi, Mathew                    	Libre                         	1029	4
1235	1790	Amorin, Alejandro                  	Nichia Gakuin                 	1029	4
1236	353	Bustamante, Julián                 	Gimnasty                      	1027	4
1237	806	Siscaro, Jorge                     	Libre                         	1027	4
1238	1164	Fernandez, Alejo                   	Fulgor Villa Crespo           	1027	4
1239	2370	Tovar Medina, Juan Carlos          	Bar Ping Pong NTE             	1027	4
1240	1259	Kalbermatter, Roberto              	GTM                           	1027	4
1241	342	Ferreyra, E                        	Libre                         	1026	4
1242	468	Lomastro, Darío                    	Peretz                        	1026	4
1243	343	Pintos, Oscar                      	Gral. Sarmiento               	1025	4
1244	124	Gonzalez, Tomás                    	Arg Takkyu                    	1024	4
1245	426	Longhi, Analía                     	Arg Takkyu                    	1024	4
1246	2425	Christ, Franco                     	Top Minc                      	1024	4
1247	310	Altamirano, Agustín                	Peretz                        	1023	4
1248	442	Penesse, Daniel                    	Libre                         	1023	4
1249	477	Lucero, Martín                     	Top Minc                      	1023	4
1250	1065	Mielnik, Eduardo                   	Rioja                         	1023	4
1251	2428	Nakayama, Daisuke                  	Top Minc                      	1023	4
1252	2584	Edgar, Ian                         	Fenix                         	1023	4
1253	4561	Costantini, Tomas                  	Ingeniero Acosta              	1023	4
1254	348	Galeano, Nicolás                   	Libre                         	1022	4
1255	350	Ferreyra, Ángel                    	Libre                         	1022	4
1256	372	Cruz, Gastón                       	Peñarol                       	1022	4
1257	1034	Babuini, Matías                    	Fenix                         	1022	4
1258	2612	Villanueva, Gonzalo                	Circulo Campano               	1022	4
1259	3775	Novaro, Sergio                     	Banco Nacion                  	1022	4
1260	351	Tokumon, Nicolás                   	Libre                         	1021	4
1261	1353	Petrasso, Leonardo                 	CAVA                          	1021	4
1262	1693	Bernardez, Santiago                	Fenix                         	1021	4
1263	647	Shinzato, Adrián                   	Ateneo de Versailles          	1021	4
1264	128	Luzzi, Gustavo                     	Libre                         	1020	4
1265	312	Morguenfeld, Juan                  	Libre                         	1020	4
1266	1902	Kruger, Daniel                     	Libre                         	1020	4
1267	2415	Groisman, Leandro                  	Banco Nacion                  	1020	4
1268	3780	Cerverizzo, Christian              	Social Club TDM               	1020	4
1269	466	Aranda, Mauricio                   	Libre                         	1019	4
1270	3592	Ramos, Nicolas J.                  	Ateneo de Versailles          	1018	4
1271	127	Molentino, Luciano                 	Libre                         	1017	4
1272	784	Barr, Cristian                     	CAVA                          	1017	4
1273	1081	Iza, Daniel                        	Nichia Gakuin                 	1017	4
1274	3384	Revah, Ismael                      	Banco Nacion                  	1017	4
1275	810	Vasquez, Mauricio                  	Top Minc                      	1016	4
1276	1878	Dondovich, César                   	Bar Ping Pong NTE             	1016	4
1277	2249	Santacroce, Fernando               	Fenix                         	1016	4
1278	2578	Lombardi, Lucas                    	Gimnasty                      	1016	4
1279	4295	Barrientos, Fausto                 	Ateneo de Versailles          	1016	4
1280	359	Muszkat, Gastón                    	Libre                         	1015	4
1281	374	Levenzon, Tomás                    	Libre                         	1015	4
1282	645	Coy Roldan, Pablo                  	Top Minc                      	1015	4
1283	3586	Da Costa Braga, Federico           	Social Club TDM               	1015	4
1284	3896	Maldonado, Romeo                   	Alvear Club                   	1015	4
1285	362	Melano, Cristián                   	Gimnasty                      	1014	4
1286	363	Michardi, Jorge                    	Libre                         	1014	4
1287	1355	Cheong Cutreta, Agustín            	Estacion Ping Pong            	1014	4
1288	2624	Isola, Andres                      	Asoc. Yabrudense              	1014	4
1289	3285	Mango, Felipe                      	Ferrocarril Oeste             	1013	4
1290	2636	Gulloni, Fernando                  	Inst.Atlet. Cultural          	1013	4
1291	2944	Nardelli, Federico                 	Ingeniero Acosta              	1012	4
1292	131	Poledo, Alan                       	River Plate                   	1011	4
1293	325	Alcantara, Ramiro                  	Libre                         	1011	4
1294	584	Ochoa, Malena                      	Peretz                        	1011	4
1295	671	Tapari, Claudio                    	Rioja                         	1011	4
1296	1041	Gomez, Yéssica                     	Ferrocarril Oeste             	1011	4
1297	1917	Montero, Santiago                  	Nichia Gakuin                 	1011	4
1298	180	Garcia, Carlos                     	Padilla                       	1010	4
1299	3773	Valdez, Juan Ignacio               	Lourdes                       	1010	4
1300	368	Sansone, Ariel                     	Libre                         	1009	4
1301	369	Soria, Juan Manuel                 	Libre                         	1009	4
1302	754	Mayer, Andrés                      	Libre                         	1009	4
1303	1391	Etorena, Octavio                   	Gimnasty                      	1009	4
1304	106	Sigampa, Matías                    	Ferrocarril Oeste             	1008	4
1305	370	Jara, Luciano                      	Libre                         	1008	4
1306	371	Galeazzi, Marcelo                  	Libre                         	1008	4
1307	397	Martinez, Ayelen                   	Libre                         	1007	4
1308	1250	Ischia, Javier                     	CASA de Padua                 	1007	4
1309	709	Marchegiani, Cristian              	Libre                         	1006	4
1310	1501	Szekasy, Valentín                  	Arg Takkyu                    	1006	4
1311	4448	Uslenghi, Santiago                 	River Plate                   	1006	4
1312	356	Alcantara, Carlos                  	Libre                         	1005	4
1313	488	Polderman, Sandra                  	Top Minc                      	1005	4
1314	815	Vittori, Luciano                   	Libre                         	1005	4
1315	975	Vilotta, Marco                     	Libre                         	1005	4
1316	1145	Lemos, Leandro                     	GTM                           	1005	4
1317	3188	Hoffmann, Conrado                  	Libertad                      	1005	4
1318	753	Lanzafame, Luis                    	La Legión TDM                 	1004	4
1319	109	Percival, Jorge                    	GTM                           	1003	4
1320	114	Palacios, Darío                    	CTDM Nizetich                 	1003	4
1321	378	Korchman, Adrián                   	Libre                         	1003	4
1322	291	Rodriguez, Pablo                   	Libre                         	1002	4
1323	379	Fleischer, Ricardo                 	Libre                         	1002	4
1324	446	Danelli, Alejandro                 	Arg Takkyu                    	1002	4
1325	4829	Stacco, Daniel Oscar               	TMR                           	1002	4
1326	2323	Bidegain, Rafael                   	Club La Quinta                	1001	4
1327	4223	Baez Abruza, Ramiro                	Lourdes                       	1001	4
1328	2869	Aguilar Solis, Francisco           	River Plate                   	1001	4
1329	3919	Murakoshi, Nahuel                  	Asoc. Jap. Burzaco            	1001	4
1330	492	Lopez, Martín                      	Libre                         	1000	4
1331	1251	Llanos, Florencia                  	CASA de Padua                 	1000	4
1332	2467	Kalomiris, Pablo                   	Ateneo de Versailles          	1000	4
1333	2749	Polanco Carrillo, Franky           	Atlanta                       	1000	4
1334	3326	Lamarina, Martin                   	Peñarol                       	1000	4
1335	4029	Benito Acosta, Nicolas             	Adrogue Sith Spin             	1000	4
1336	4274	Fernandez, Cristian                	Libre                         	1000	4
1337	4495	Leguizamon, Guillermo              	Oeste TDM                     	1000	4
1338	4522	Maeto, Diego                       	Asoc. Jap. Burzaco            	1000	4
1339	383	Vergara, N                         	Libre                         	999	4
1340	1143	Hsueh, Daniel                      	Comunidad China TdM           	999	4
1341	1480	Rodriguez, Fernan                  	Fenix                         	999	4
1342	1801	Pantegnies, Hervé                  	Libre                         	999	4
1343	2978	Bozzuto, Luciano                   	Macabi                        	999	4
1344	263	Maraviglia, Claudio                	Libre                         	998	4
1345	385	Cantilo, Rafael                    	Ferrocarril Oeste             	998	4
1346	454	Schoua, Horacio                    	Libre                         	998	4
1347	3714	Alcorta, VIctor                    	Libre                         	998	4
1348	390	Ferreyra, Germán                   	Libre                         	997	4
1349	854	Arce, Agustín                      	Ingeniero Acosta              	997	4
1350	1092	Escobar, Guillermo                 	Ferrocarril Oeste             	997	4
