pos	id	jugador	club	puntos	categoria
101	1474	Riback, Juan                       	Macabi                        	2240	0
102	148	Minc, Fernando                     	Top Minc                      	2230	0
103	30	Koatz, Andrés                      	Peretz                        	2225	0
104	433	Alcaraz, Gonzalo                   	CASA de Padua                 	2222	0
105	3666	Varela, Franco                     	GTM                           	2222	0
106	2492	Burotto, Pablo                     	Nikkei TDM                    	2221	0
107	949	Ramos, Mauro                       	Fenix                         	2219	0
108	546	Sanchez, Claudio                   	Tigre TDM                     	2211	0
109	1475	Sanchi, Francisco                  	Libre                         	2206	0
110	894	Kaizoji, Camila                    	Alvear Club                   	2181	0
111	1193	Storni, Gino                       	Peretz                        	2177	0
112	419	De Simone, Mariano                 	Nichia Gakuin                 	2175	0
113	739	Perez, Pablo                       	Libre                         	2149	0
114	4058	Luna Nuñez, Nicolas                	Fenix                         	2148	0
115	52	Tenti, Benjamín                    	Gimnasty                      	2140	0
116	3190	Asmu, Agustín                      	River Plate                   	2139	0
117	149	Miodosky, Martín                   	River Plate                   	2138	0
118	1282	Menghi, Manuel                     	Gimnasty                      	2138	0
119	694	Bentancourt, Luciano               	GTM                           	2137	0
120	893	Neira, Darío                       	Spin TDM                      	2134	1
121	789	Kornschuh, Adriel                  	Ferrocarril Oeste             	2129	1
122	3999	Ovelar, Lucero                     	Alvear Club                   	2127	1
123	1542	Boursillon, Fernando               	Libre                         	2124	1
124	860	Gonzalez Dos Santos, Patricio      	Lourdes                       	2114	1
125	129	Perez Altera, Ignacio              	Peretz                        	2114	1
126	2819	Cabrera, Tomas                     	Macabi                        	2111	1
127	797	Gavilan, Axel                      	Libre                         	2108	1
128	4463	Burdin, Dimitri                    	Ferrocarril Oeste             	2108	1
129	1948	Duran, Ian                         	Fulgor Villa Crespo           	2108	1
130	2772	Bernardou, Tomas                   	Ateneo de Versailles          	2103	1
131	3046	Bobrow, Adam                       	Libre                         	2102	1
132	459	Lorenzotti, María Pía              	Tigre TDM                     	2100	1
133	3413	Descovich, Mateo                   	Social Club TDM               	2100	1
134	3476	Solano, Jonathan                   	Social Club TDM               	2100	1
135	2786	Valdes, Tobias D.                  	CEDIMA                        	2081	1
136	943	Argüelles, Camila                  	Asoc. Yabrudense              	2080	1
137	2564	Aguilar, Felipe                    	Libre                         	2078	1
138	1945	Pierini, Ariel                     	Alvear Club                   	2073	1
139	1488	Carpio, Francisco                  	Alvear Club                   	2073	1
140	41	Kanashiro, Martín                  	Nikkei TDM                    	2072	1
141	1463	Bortoli, Rodrigo                   	Peretz                        	2072	1
142	1872	Fernandez, Emanuel                 	CASA de Padua                 	2071	1
143	21	Bronstein, Leandro                 	River Plate                   	2071	1
144	523	Molero, Candela                    	Alvear Club                   	2069	1
145	740	Levin, Julián                      	La Legión TDM                 	2069	1
146	1521	Regner, Martín                     	Bar Ping Pong NTE             	2069	1
147	27	Bruno, Nicolás                     	Estacion Ping Pong            	2066	1
148	57	Garcia Salgado, Juan               	Inst.Atlet. Cultural          	2052	1
149	31	Novizki, Pablo                     	Spin TDM                      	2044	1
150	2072	Bordenave, Galo                    	Nikkei TDM                    	2043	1
151	2739	Samczuk, Ciro                      	Alvear Club                   	2040	1
152	933	Ciancio, Nicolás                   	Top Minc                      	2033	1
153	3357	Rossi Vera, Santino                	Peretz                        	2032	1
154	4121	Farfan, Maciel                     	Padilla                       	2030	1
155	2615	Sugimoto, Shumma                   	Arg Takkyu                    	2027	1
156	4096	Archua, Benjamin                   	River Plate                   	2024	1
157	1487	Carpio, Federico                   	TMR                           	2022	1
158	1656	Peña, Franco                       	Fulgor Villa Crespo           	2021	1
159	857	Kamimura, Emilio                   	CAVA                          	2016	1
160	4075	Barja, Luis M.                     	Padilla                       	2013	1
161	3394	Carranza, Mateo                    	GTM                           	2010	1
162	606	Etayo, Alejandro                   	Fenix                         	2009	1
163	2353	Gonzalez, Manuel A                 	CEDIMA                        	2007	1
164	1471	Merkin, Alan Gabriel               	River Plate                   	2003	1
165	1417	Hernandez, Juan                    	Intendente Agüero             	2000	1
166	2379	Aguaysol, Lautaro                  	Libre                         	2000	1
167	3029	Zaffaroni Velazquez, Luca N.       	Fenix                         	1999	1
168	1437	Buzzi, Maximiliano                 	Estacion Ping Pong            	1995	1
169	1557	Ferretti, Matías                   	Gimnasty                      	1993	1
170	791	Pombo, Federico                    	Ferrocarril Oeste             	1991	1
171	1252	Cisilin, Estanislao                	Arg Takkyu                    	1989	1
172	1699	Nievas, Diego Gustavo              	Oeste TDM                     	1988	1
173	1453	Di Pierri, Carlos                  	Peretz                        	1987	1
174	11	Gurevich, Ariel                    	Macabi                        	1983	1
175	3230	Sassone, Marco                     	Alvear Club                   	1980	1
176	2737	Smodlaka, Guido I.                 	Alvear Club                   	1975	1
177	2886	Hernandez Galvan, Julio            	Fenix                         	1974	1
178	4159	La Via, Giuliano                   	GTM                           	1972	1
179	734	Iamarino, Nicolás                  	Nichia Gakuin                 	1970	1
180	4786	Ferreyra, Matias                   	Libre                         	1970	1
181	2410	Munno, Alvaro                      	Rioja                         	1970	1
182	283	Iwasa, Agustina                    	Ferrocarril Oeste             	1968	1
183	905	Kashiwagi, Héctor                  	Arg Takkyu                    	1964	1
184	3873	Saavedra, Tomas                    	Alvear Club                   	1963	1
185	7	Gambande, Lucio                    	San Lorenzo                   	1962	1
186	882	Sato, Maximiliano                  	Rioja                         	1961	1
187	533	Ocampos, Juan                      	Inst.Atlet. Cultural          	1960	1
188	771	Tabacman, Alexander                	CAVA                          	1959	1
189	831	Pombo, Joaquín                     	Ferrocarril Oeste             	1957	1
190	1981	Lovera Arteaga, Mainor             	Top Minc                      	1957	1
191	13	Tchintchinian, Mariano             	UCA Marash Argentina          	1956	1
192	1506	Choca, Federico                    	Libre                         	1956	1
193	17	Wainsztok, Darío                   	Arg Takkyu                    	1956	1
194	2902	Carvalho, Lucas                    	Top Minc                      	1955	1
195	2005	Candela, Juan                      	Fenix                         	1954	1
196	3082	Rajmil, Muriel                     	GTM                           	1954	1
197	172	Beraja, Alan                       	Atlanta                       	1953	1
198	2705	Savanco, Marcos                    	Social Club TDM               	1953	1
199	2633	Schvartz, Ivan                     	Macabi                        	1952	1
200	939	Mikkonen, Jaakko                   	UBA Exactas                   	1950	1
201	398	Burstein, Julián                   	Libre                         	1946	1
202	292	Serrano, Juan José                 	Top Minc                      	1944	1
203	3855	Chavez, Pedro Joaquin              	Inst.Atlet. Cultural          	1941	1
204	1804	Viotti, Lucas                      	Nikkei TDM                    	1937	1
205	451	D'Alessandro, Tomas                	Tigre TDM                     	1935	1
206	29	Ovejero, Fernando                  	El Galpong                    	1932	1
207	718	Tassara, Fernando                  	Banco Nacion                  	1931	1
208	4635	Mendoza Muñoz, Alvaro              	Macabi                        	1931	1
209	51	Falicoff, Iván                     	Fulgor Villa Crespo           	1930	1
210	1881	Olivé Benages, Marc                	Top Minc                      	1928	1
211	430	Rajmil, Damián                     	Tigre TDM                     	1926	1
212	1529	Cabrera, Braian                    	U.V.V.A.                      	1926	1
213	2938	Nakagama, Alan Jun                 	Fenix                         	1926	1
214	429	Melita, Juan                       	Gimnasty                      	1925	1
215	28	Fux, Gabriel                       	Alvear Club                   	1918	1
216	4052	De Leon, Edgardo                   	Ferrocarril Oeste             	1918	1
217	54	Tenti, Joaquín                     	UCA Marash Argentina          	1917	1
218	3037	Sosa, Mateo                        	River Plate                   	1915	1
219	1237	Sarso, Luciano                     	San Lorenzo                   	1910	1
