title	views	year_ago	year
Salina Cheuk Ting Ho - Decision making in 'successful' data analysis	81	2	2020
What's Next After Notebooks? - Alexander Morley	80	3	2019
Miriam Posner - CSVConf 2017	80	5	2017
Eric Busboom - CSVConf 2017	79	5	2017
Improving the Quality of Neuroimaging Scans - Jonathan Uriarte Lopez	78	3	2019
Samuel Brice - Demystifying Clearview: Vehicle Tracking with Public CCTV Cameras	76	2	2020
Yasmin AlNoamany - CSVConf 2017	76	5	2017
Project Athena: Mapping African Militaries for Good - John Stupart	75	3	2019
K Adam White - WordPress as Data, 5 Years In	73	1	2021
Daniel Bernstein - Getting to CSV: Unlocking Public Data in the Civil Justice Space	73	2	2020
Tempest van Schaik, PhD - Building successful collaborations around healthcare data	72	2	2020
How to Feed Your Robot: Building and Maintaining Open Machine Learning Datasets - Evan Tachovsky	72	3	2019
Brian Avery - CSVConf 2017	72	5	2017
Melissa Santos - Time-to-Event Analysis for Non-Medical Applications	71	2	2020
Data & Social Justice - Dan Phiffer	70	3	2019
Nicole Vasilevsky and Daniel Keith - CSVConf 2017	70	5	2017
Data Analysis to Improve Diversity and Equity in Graduate-Level Education - Rachel Mallinga	69	3	2019
Jure Triglav: Open Science with Open Data on the Open Web using Open Source	68	6	2016
Catherine Stihler - Better sharing, brighter future	67	1	2021
Soila Kenya - Error 404: Data Archival from a journalist's perspective	67	2	2020
Hacking Open Data in Africa - Soila Kenya	67	3	2019
Toph Allen - CSVConf 2017	67	5	2017
Emmy Tsang & Daniel Ecer - PeerScout: Diversifying peer review with data and machine learning	66	2	2020
Let’s ROR together - building open research organization identifiers - Maria Gould	66	3	2019
The ONDRI Neuroinformatics & Biostatistics teams pipelines, partnerships, and products.	64	1	2021
Erica Hagen - Open Mapping & Government Projects in Kenya: Map Kibera and the state of citizen data	64	2	2020
Social Data: Invading Privacy or Creating Better Cities? - Gala Camacho	64	3	2019
Emil Bay - CSVConf 2017	64	5	2017
Mike Trizna: Making Smithsonian Open Access Accessible with Python and Dask	63	1	2021
Sebatian Komoanos: Data through the hoop: I got 99 problems and the data was one	62	6	2016
Measurement Lab - Open Data on Global Internet Health - Chris Ritzo	61	3	2019
Jay Miller - Making Police Call Data Readable using Pandas and Eland	60	1	2021
Scaling computations and maintaining reproducible projects with signac, an open-source framework	59	1	2021
John Muyskens - Data Journalism in the Anthropocene	59	2	2020
Should Real Estate Data be Open? - Andy Terrel	59	3	2019
Environmental Enforcement Watch: Environmental Data Justice through Participatory Data Science	58	1	2021
Christina Gosnell & Pablo Virgo - Getting climate advocates the data they need	58	2	2020
Our Quest to Clean Up Institutional Affiliations in Dryad - Daniella Lowenberg & Ted Habermann	58	3	2019
The Streets of Women - Selene Yang	58	3	2019
Simon Tyrrell - Frictionless Data for Wheat	55	1	2021
Digging for Urban and Civic Data in Eastern Europe - Gleb Kanunnikau	52	3	2019
Andrew McKenna-Foster and Kathleen Sullivan - Complicated Problem of Closing Open Data	51	2	2020
Crafting Data-Driven Stories for the Everyday Reader - Marisa Aquilina	50	3	2019
Zane Selvans - Distributing Power with Open Data	49	1	2021
Katy Sill, Adam Kariv - The Water Point Data Exchange - using Open Data for Universal Water Access	48	1	2021
Version Controlled Stakeholder Reporting - Jose M Hernandez	47	3	2019
US Energy Data Liberation - Zane Selvans	47	3	2019
Hao Ye - Accessibility and reproducibility in ecological time series analysis	45	2	2020
Harris Lapiroff - An API for Tracking Press Freedom	43	1	2021
Raj Singh - CSVConf 2017	41	5	2017
How open data can promote participatory democracy - Hector Dominguez	39	3	2019
Where Has Your Data Come From? Data Ancestry and Other Tales - Dr. Tania Allard	39	3	2019
